Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;6;21.0;1;8.0;12.0;6;20.0;
4;1;8.14999961853;10.5;6;21.8400001526;1;9.0;11.0;6;20.0;
5;1;8.27600002289;10.9200000763;6;22.5301437378;1;10.0;10.0;6;20.0;
6;2;9.27600002289;11.4650716782;5;24.086605072;1;11.0;10.0;6;20.0;
7;2;10.4194869995;11.543302536;5;24.6883431673;1;12.0;10.0;6;20.0;
8;2;10.5548763275;11.7641716003;5;25.4652262926;1;13.0;10.0;6;20.3999996185;
9;2;10.7296762466;12.0549411774;5;26.1465243101;1;14.0;10.1999998093;6;20.7264003754;
10;2;10.8829679489;12.2827939987;5;26.7584704161;2;15.3268795013;10.8632001877;5;22.8194274902;
11;2;11.020655632;12.4589796066;5;27.1379284859;2;16.8187427521;10.9097137451;5;23.7316036224;
12;2;13.020655632;12.5;5;27.4770481586;2;18.229221344;11.3658018112;5;24.4745616913;
13;2;15.020655632;12.5;5;27.8615591526;2;20.8187427521;12.2372808456;5;25.0673980713;
14;2;16.2503910065;12.5;5;28.2947545052;2;22.8187427521;12.5336990356;5;25.5325260162;
15;2;17.3478603363;12.5;5;28.7792563438;2;23.8187427521;12.7662630081;5;25.892534256;
16;2;18.4568729401;12.5;5;29.3166947365;2;24.8187427521;12.946267128;5;26.0;
17;2;19.577796936;12.5;5;29.9073610306;2;25.8187427521;13.0;5;26.0;
18;2;20.7106971741;12.5;5;30.5498642921;2;26.8187427521;13.1000003815;6;26.0;
19;2;20.8737201691;12.5;5;31.2408299446;2;27.8187427521;13.1000003815;6;26.0;
20;2;21.0291862488;12.5;7;31.9746999741;2;28.25;13.1000003815;6;26.0;
