Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
1;1;11.0;10.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;11.0;10.0;5;20.0;1;8.0;12.0;6;20.0;
4;1;11.0;10.0;5;20.0;1;9.0;11.0;6;20.0;
5;1;12.0;10.0;5;20.0;1;10.0;10.0;6;20.0;
6;1;13.0;10.0;5;20.0;1;11.0;10.0;5;20.0;
7;2;14.4499998093;10.0;4;21.3999996185;1;12.0;10.0;5;20.0;
8;2;14.6300001144;10.1999998093;4;21.7264003754;1;13.0;10.0;5;20.3999996185;
9;2;14.7768793106;10.3632001877;4;22.8594274521;1;14.0;10.1999998093;5;20.7264003754;
10;2;15.2867431641;10.9097137451;4;23.8127875328;2;14.3268795013;10.6632003784;4;22.8194274902;
11;2;17.2867431641;11.3658018112;4;24.5981152058;2;14.8187427521;10.9097137451;4;23.7816035748;
12;2;19.2867431641;11.7372808456;4;25.2345055342;2;15.2292222977;11.3658018112;4;25.4858021736;
13;2;20.3439407349;12.0336990356;5;25.7443674803;2;17.8187427521;12.1919136047;4;26.9092153311;
14;2;21.3640708923;12.2662630081;5;26.1502821445;2;19.8187427521;12.8766326904;4;28.0588837862;
15;2;22.3847293854;12.446267128;5;26.3048160076;2;20.8187427521;13.4234695435;4;28.9634127617;
16;2;23.4059104919;12.5;5;26.3530313969;2;21.8187427521;13.8467197418;4;29.6622481346;
17;2;24.4276065826;12.5;5;26.4023760557;2;22.8187427521;14.1661024094;4;30.1968833208;
18;2;25.4498119354;12.5;5;26.4528282881;2;23.8187427521;14.4023637772;5;30.4563041925;
19;2;25.9037723541;12.5;6;26.5043625832;2;24.8187427521;14.5;5;30.5224741697;
20;2;25.9269638062;12.5;6;26.5569496155;2;25.8187427521;14.5;5;30.5906432867;
21;2;25.9506263733;12.5;6;26.6105561256;2;26.8187427521;14.5;5;30.6607804298;
22;2;25.9747505188;12.5;6;26.6651450396;2;27.0499992371;14.5;5;30.7328453064;
23;2;25.9993152618;12.5;6;26.72067523;3;27.0499992371;14.5;4;30.8067884445;
24;2;26.0243034363;12.5;6;26.7771017551;3;27.0499992371;14.5;6;30.8825509548;
25;2;25.25;13.2108402252;6;26.8343759775;4;27.0499992371;14.5;5;30.9600640535;
26;2;25.25;13.2337503433;6;26.8924454451;4;27.0499992371;14.5;4;31.0392494202;
27;2;25.25;13.256978035;5;26.9512542486;4;27.0499992371;14.5;4;31.120018959;
28;2;25.25;13.2805013657;4;27.0107431412;4;27.0499992371;14.5;4;31.2022752762;
29;2;25.25;12.5;4;27.0708494186;4;27.0499992371;14.5;4;31.2859115601;
30;2;25.25;13.3283395767;4;27.1315076351;4;27.0499992371;14.5;5;32.3708124161;
31;2;25.25;13.3526029587;4;27.1926498413;4;26.0499992371;15.5;5;32.5068535805;
32;2;25.25;13.3770599365;4;27.2542052269;4;26.0499992371;16.5;5;32.6458785534;
33;2;25.25;13.4016819;5;27.3161010742;4;25.5458869934;17.5;5;32.7877732515;
34;2;25.25;13.426440239;5;27.3782629967;4;24.5701770782;18.5;5;32.9324125051;
35;2;25.25;13.4513053894;4;27.4406147003;4;23.595375061;19.5;5;33.0796597004;
36;2;25.25;15.4513053894;5;27.5030794144;4;22.6214866638;20.5;5;34.2293674946;
37;2;25.25;17.4513053894;5;27.5655794144;4;22.6485176086;21.5;2;34.5913785696;
38;3;25.25;19.4513053894;4;27.628036499;4;24.0499992371;22.5;2;34.9970847368;
39;3;25.25;21.4513053894;4;27.690372467;4;25.7077007294;25.5;1;35.453373313;
40;3;25.25;23.4513053894;4;27.7525100708;4;26.8427829742;28.5;2;35.9678019285;
41;3;25.25;23.6010036469;4;27.8143725395;4;28.0032272339;31.5;2;36.5484206676;
42;3;25.25;23.625749588;4;27.8758842945;4;29.1927452087;34.5;3;37.2034618855;
43;3;25.25;23.650352478;4;27.936971426;4;29.0499992371;35.5;6;37.9408643246;
44;3;25.25;23.6747894287;5;27.9975619316;4;31.0499992371;34.5;8;38.7676002979;
45;3;25.25;23.6990242004;5;28.0575861931;4;32.9727249146;34.5;8;39.6888016462;
46;4;26.25;24.723033905;5;29.1169772148;4;33.3135719299;34.5;10;40.7067174911;
47;4;27.25;24.5;5;29.2256705761;4;33.6976966858;34.5;10;41.8195874691;
48;4;27.7224998474;26.5;5;29.335580349;4;35.078414917;34.5;11;43.0205965042;
49;4;27.7458877563;27.7934417725;6;29.4466735125;4;35.5817565918;34.5;12;44.2971315384;
50;4;27.7701778412;28.8162899017;6;29.5589157343;4;36.119758606;34.5;12;45.630607605;
51;4;27.795375824;28.8387889862;7;29.6722707748;6;36.6841049194;34.5;9;75.247084856;
52;4;27.8214874268;28.8609199524;7;30.786699295;6;39.2640686035;36.5;9;78.1312806606;
53;4;28.8485183716;29.8826618195;8;31.0621597767;6;41.8471832275;38.5;10;80.8345277309;
54;4;29.8764705658;30.904001236;8;32.773337245;6;43.4202804565;40.5;10;83.9266197681;
55;4;30.4928951263;32.5920410156;9;34.255325079;6;44.9707260132;42.5;10;86.7176353931;
56;4;30.9936180115;34.1477890015;10;35.5453987122;6;46.4875869751;44.5;10;89.1894471645;
57;4;31.3942642212;35.5882644653;10;36.6875959635;6;47.9625854492;45.5;11;93.8489727974;
58;4;31.7134857178;35.9338798523;11;37.725161314;7;46.1798934937;49.0800018311;10;97.7632100582;
59;4;31.9695854187;36.2046737671;11;38.4317631721;7;49.5653381348;48.5082702637;11;100.995354414;
60;4;32.0596389771;36.2860183716;11;40.523468256;7;50.2202072144;50.8158721924;10;103.56744647;
61;4;32.6902389526;36.9648742676;13;42.391824007;7;48.566204071;54.0;11;105.402031422;
62;4;33.1932678223;37.4928131104;14;44.1009418964;8;47.7253074646;56.452709198;10;106.895004749;
63;5;33.596824646;37.9004058838;13;45.6454637051;8;47.8645210266;56.452709198;10;107.870659828;
64;5;33.8984146118;38.1843566895;14;46.9020562172;8;45.9854049683;59.452709198;11;109.701742172;
65;5;34.0433120728;38.2835083008;14;48.2342121601;8;46.089679718;63.452709198;12;110.475538373;
66;5;34.1969337463;38.3815002441;14;49.6340594292;9;46.1791000366;66.7942047119;11;110.850003004;
67;5;34.3587799072;38.4778594971;14;51.0904383659;9;45.6000022888;69.8782577515;9;111.164744139;
68;5;34.5281600952;38.5721511841;14;52.5889997482;9;45.6000022888;72.9613876343;10;112.483977914;
69;5;34.7041740417;38.6639671326;13;55.1126346588;9;46.6000022888;77.0434036255;9;112.845446348;
70;5;35.8857345581;39.7529449463;12;56.6722471714;9;48.6000022888;79.0434036255;7;113.212905407;
71;5;37.0715713501;40.8387718201;12;58.2184073925;9;47.6000022888;81.0434036255;6;113.586575985;
72;5;37.260269165;41.9211845398;14;59.7313911915;9;46.6000022888;84.0434036255;9;114.966645718;
73;5;37.450302124;42.9999694824;14;61.1930029392;9;48.6000022888;90.0434036255;9;115.380430698;
74;6;37.6400756836;44.0749702454;13;62.5876330137;9;50.6000022888;92.4367980957;9;115.778263092;
75;6;37.8279953003;45.1460800171;16;63.902997613;9;52.1778297424;97.5992050171;12;116.188713908;
76;6;36.0124969482;45.2132453918;16;63.8149628639;9;54.218875885;102.370399475;14;116.611637592;
77;6;35.8312492371;44.9319190979;17;63.7297195196;9;55.6611633301;101.550346375;15;117.046754599;
78;6;35.6681213379;43.6787261963;16;63.6408188939;9;53.9046783447;106.066665649;15;117.49363625;
79;6;35.5213127136;41.5167274475;15;63.5447945595;9;53.9493637085;106.364395142;17;117.951692581;
80;6;35.3891792297;43.370929718;14;64.4404504895;9;52.9951705933;106.669311523;20;118.420162678;
81;6;35.2702598572;45.4611968994;16;64.2281689048;9;51.0420150757;109.980865479;21;118.898110867;
82;6;35.1632385254;46.2550735474;16;64.0193200707;9;51.0898132324;110.298416138;23;119.384430289;
83;6;35.0669136047;47.069568634;18;63.8147912025;9;50.1384429932;110.621170044;26;119.877846956;
84;6;34.9802207947;47.6110115051;19;63.464741379;9;46.187789917;114.948257446;29;120.376937747;
85;7;31.9802207947;45.6110115051;17;63.1182675362;9;48.0376968384;114.278686523;28;120.880148649;
