Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;11.0;10.0;4;20.0;1;13.0;10.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;13.0;10.0;4;20.0;
3;1;11.0;10.0;5;20.0;1;13.0;10.0;4;20.0;
4;1;11.0;10.0;5;20.0;1;14.0;10.0;4;20.0;
5;1;12.0;10.0;5;20.0;1;15.0;10.0;4;20.0;
6;1;13.0;10.0;5;20.0;1;16.0;10.0;4;20.3999996185;
7;1;14.0;10.0;5;20.3999996185;1;17.0;10.1999998093;4;20.7264003754;
8;1;14.1800003052;10.1999998093;5;20.7264003754;1;17.4358406067;10.3632001877;4;21.8194274902;
9;1;14.3268795013;10.3632001877;5;21.8194274902;1;18.0916557312;10.9097137451;4;22.7316036224;
10;1;14.8187427521;10.9097137451;5;22.7316036224;1;19.0916557312;11.3658018112;4;23.4745616913;
11;1;15.8187427521;11.3658018112;5;23.4745616913;1;20.0916557312;11.7372808456;4;24.0673980713;
12;1;16.8187427521;11.7372808456;5;24.0673980713;1;21.0916557312;12.0336990356;4;24.5325260162;
13;2;18.8187427521;12.0336990356;5;25.5325260162;1;22.0916557312;12.2662630081;4;24.892534256;
14;2;20.8187427521;12.2662630081;5;25.9125342369;1;23.0916557312;12.446267128;4;25.0;
15;2;22.2777423859;12.446267128;4;26.0401959419;1;24.0916557312;12.5;5;25.0;
16;2;23.2868309021;12.5;4;26.0605818033;2;25.0916557312;12.5;4;25.0;
17;2;24.296005249;12.5;4;26.0811508894;2;26.0916557312;12.5;5;25.0;
18;2;25.3052597046;12.5;4;26.1018965244;2;27.0;12.5;5;25.0;
19;2;25.7458534241;12.5;4;26.1228116751;2;27.0;12.5;5;25.0;
20;2;25.7552642822;12.5;4;26.1438889503;2;27.0;12.5;5;25.0;
21;2;25.764749527;12.5;6;26.1651208401;2;27.0;12.5;5;25.0;
22;2;25.7743034363;12.5;6;26.1864993572;2;27.0;12.5;6;25.0;
23;2;25.7839241028;12.5;7;26.2080165148;2;27.0;12.5;6;25.0;
24;2;25.7936077118;12.5;7;26.2296639681;2;27.0;12.5;7;25.0;
25;2;25.8033485413;12.5;7;26.2514331341;2;27.0;12.5;7;25.0;
26;2;25.8131446838;12.5;7;26.2733153105;2;27.0;12.5;7;25.0;
27;3;25.8229923248;12.5;7;26.2953014374;2;27.0;12.5;7;25.0;
28;3;25.25;12.5;8;26.3173824549;3;27.0;12.5;6;25.0;
29;3;25.8428230286;12.5;8;26.3395489454;3;27.0;12.5;6;25.0;
30;3;25.8527965546;12.5;8;26.3617914915;3;27.0;12.5;6;25.0;
31;3;25.8628063202;12.5;8;26.3841004372;3;27.0;12.5;6;25.0;
32;3;25.872844696;12.5;8;26.4064661264;3;27.0;12.5;6;25.0;
33;3;25.8829097748;12.5;8;26.428878665;3;27.0;12.5;6;25.0;
34;3;25.8929958344;12.5;8;26.4513280392;3;27.0;12.5;7;25.0;
35;3;25.9030971527;12.5;8;26.4738043547;3;27.0;13.5;7;25.0;
36;3;25.9132118225;12.5;8;27.4962974787;3;27.0;14.5;7;25.0;
37;3;26.9233341217;15.5;9;27.5587973595;3;27.0;15.5;7;25.0;
38;3;27.9334583282;18.5;9;27.6224777699;3;27.0;16.5;7;25.0;
39;3;28.4301147461;21.5;9;27.6873303652;3;27.0;17.5;7;25.0;
40;3;28.4592971802;24.5;10;27.7533435822;3;27.0;17.5;8;25.0;
41;3;28.4890041351;27.5;10;27.8205032349;3;27.0;17.5;9;25.0;
42;3;28.5192260742;27.5;11;27.8887915611;3;27.0;17.5;9;25.0;
43;3;28.5499572754;27.5;11;27.9581879377;3;27.0;17.5;9;25.0;
44;3;28.5811843872;27.5;11;28.028668046;3;27.0;17.5;9;25.0;
45;3;28.6128997803;27.5;12;28.1002042294;3;27.0;17.5;9;25.0;
46;3;28.6450920105;27.5;15;28.1727651358;3;27.0;17.5;9;25.0;
47;3;28.6777439117;27.5;16;28.2463157177;3;27.0;17.5;10;25.0;
48;3;28.7108421326;27.5;15;28.3208173513;3;27.0;17.5;10;26.0;
49;3;28.7443695068;27.5;15;28.3962275982;3;28.0;18.5;10;26.0199999809;
50;3;27.9747505188;27.5;15;28.4725004435;3;29.0;19.5;10;26.0401959419;
51;3;27.9993152618;27.5;15;28.5495859385;3;29.0;20.5;12;26.0605818033;
52;3;28.0243034363;27.5;16;28.6274306774;3;29.0;21.5;12;26.0811508894;
53;3;28.0496959686;27.5;17;28.7059775591;3;29.0;22.5;12;26.1018965244;
54;3;28.0754699707;27.5;17;28.7851661444;4;30.0;24.0509490967;11;27.1228116751;
55;3;28.101600647;27.5;17;28.8649326563;4;31.0;24.5;12;27.2288889885;
56;3;28.1280651093;27.5;20;28.9452102184;4;31.0;26.0719451904;13;27.3414236307;
57;3;28.1548347473;27.5;20;29.0259288549;4;31.0;27.0825614929;13;28.4842400551;
58;3;28.1818828583;27.5;20;29.1070160866;4;31.5999984741;28.5932502747;13;29.418156743;
59;3;27.25;28.3526039124;20;30.2310273647;4;32.0680007935;29.9940071106;14;30.1783339977;
60;4;27.7000007629;28.8941116333;19;48.1217856407;5;32.4247131348;29.3020915985;13;30.8013184071;
61;4;29.0510005951;30.326713562;19;50.1853883266;5;32.6916885376;28.9097423553;13;31.1727690697;
62;4;30.3185329437;31.6676082611;19;51.9609537125;5;32.7999992371;29.6366577148;13;31.3771131039;
63;4;31.5187683105;32.9346885681;19;53.3165407181;5;32.7999992371;29.6476516724;15;31.5952631235;
64;4;32.5999984741;34.0704269409;20;54.3320801258;5;32.7999992371;30.6586914062;15;31.8274985552;
65;4;33.5999984741;35.1167144775;20;55.194794178;5;32.7999992371;31.4113407135;15;32.0739563704;
66;4;34.5999984741;35.1637077332;21;55.9187393188;5;32.7999992371;31.579410553;15;32.3346059322;
67;5;35.5999984741;35.2113113403;20;56.5218975544;5;32.7999992371;31.7574043274;16;32.6092249155;
68;5;36.5999984741;35.2594223022;21;57.023365736;5;32.7999992371;31.9451656342;16;33.897378087;
69;5;37.5999984741;35.307926178;21;57.3917882442;5;33.7999992371;33.1423873901;14;34.2383999825;
70;5;38.5999984741;35.356716156;21;57.5141711235;5;34.1265487671;32.427947998;14;34.5925682783;
71;5;39.5999984741;35.405670166;21;57.6366691589;5;34.1316070557;34.0;17;34.9587320089;
72;6;40.5999984741;35.4546661377;20;57.75898242;5;33.4033279419;36.7481498718;16;35.3354982138;
73;6;42.3999977112;34.0;20;57.8808116913;5;30.4033279419;39.7593994141;16;35.7212449312;
74;7;43.1463623047;34.0;19;59.0018615723;6;28.7999992371;42.3765640259;15;36.114145875;
75;7;44.2008361816;35.0;17;59.181842804;6;27.7999992371;44.4107627869;14;36.5122064352;
76;7;43.254825592;37.0;17;59.3634400368;6;27.7999992371;43.445526123;13;36.9133065939;
77;7;42.3082122803;39.0;17;59.5464538336;6;25.7999992371;45.4808425903;13;37.3152514696;
78;7;41.3999977112;39.0;17;59.7306919098;6;24.7999992371;47.516708374;13;37.7158284187;
79;7;42.3999977112;41.0;18;60.9159680605;6;23.7999992371;49.5531005859;14;38.1128629446;
80;7;44.3999977112;43.0;18;61.1421045065;6;23.7999992371;47.8378181458;13;38.5042747259;
81;7;45.3999977112;45.0;18;61.3701143265;6;21.7999992371;46.8489151001;13;38.888130188;
82;8;45.3999977112;47.0;18;61.5998362303;6;20.7999992371;49.6652450562;13;39.2626847029;
83;10;45.3999977112;49.0;14;85.831112504;6;19.7999992371;51.7035484314;14;40.6264191866;
84;10;44.3999977112;53.0;15;87.7437889576;6;19.7999992371;53.8819351196;14;41.0480641127;
85;10;44.3999977112;56.0;15;89.3438888788;6;20.0;57.7813873291;14;41.4607605934;
86;10;43.3999977112;59.0;15;90.6482656002;6;20.0;60.8208656311;15;41.8639028072;
87;10;42.3999977112;62.0;15;91.6952066422;6;20.0;62.9144554138;16;42.2571287155;
88;10;41.3999977112;65.0;16;93.5317369699;6;22.0;60.9007911682;17;42.6403026581;
89;10;41.3999977112;69.0;16;94.2642315626;7;20.0;62.9411697388;15;43.0134905577;
90;10;41.3999977112;72.2248687744;17;94.6035881042;7;20.0;64.0354232788;16;43.376927495;
91;11;40.3999977112;75.2568511963;16;94.9076918364;7;22.0;60.0657539368;16;43.7309877872;
92;11;39.3999977112;78.2874984741;16;95.2149887085;7;20.0;62.0963249207;17;44.0761510134;
93;11;38.5999984741;82.1856155396;18;95.5253381729;7;20.0;64.1271057129;17;44.4129707813;
94;11;38.5999984741;85.1552886963;18;95.838578105;7;21.0;63.6212692261;18;44.7420430183;
95;11;38.5999984741;87.2447814941;19;96.1545245647;7;22.0;63.6647834778;18;45.0481901169;
96;11;38.5999984741;89.3347625732;20;96.4203665257;7;23.0;63.7084312439;19;45.265545845;
97;12;38.5999984741;91.3963623047;19;97.4388943911;7;24.0;63.752155304;21;45.4578557014;
98;12;38.5999984741;93.7527084351;20;98.4985809326;7;25.0;63.7959060669;21;45.6544649601;
99;13;38.5999984741;96.122543335;19;99.5960319042;7;26.0;64.839630127;22;45.8550868034;
100;13;39.5999984741;96.272857666;20;100.727296829;7;27.2999992371;63.8832626343;22;46.059394598;
