Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;6.0;13.3000001907;4;17.0;1;6.0;12.6999998093;4;21.0;
2;1;7.0;12.3000001907;5;17.0;1;7.0;11.6999998093;5;21.0;
3;1;7.55000019073;11.3000001907;5;17.0;1;8.0;10.6999998093;5;21.0;
4;1;7.55000019073;10.3000001907;5;17.0;1;8.14999961853;10.5;5;21.0;
5;1;7.55000019073;9.30000019073;5;17.0;1;8.14999961853;10.5;5;21.0;
6;1;8.55000019073;8.5;5;17.0;1;9.14999961853;10.5;5;21.0;
7;1;8.82499980927;8.5;5;17.0;1;9.72500038147;10.5;4;21.0;
8;1;8.82499980927;8.5;5;17.0;1;9.72500038147;10.5;4;21.4200000763;
9;1;8.82499980927;8.5;5;17.3400001526;1;9.81949996948;10.7100000381;4;21.758436203;
10;1;8.9015007019;8.67000007629;5;17.6278438568;1;9.8956489563;10.8792181015;4;22.0;
11;1;8.96626472473;8.81392192841;5;17.869726181;1;9.94999980927;11.0;4;23.5400009155;
12;1;9.02068901062;8.93486309052;5;18.786491394;2;10.296500206;11.970000267;4;25.8252849579;
13;1;9.22696018219;9.39324569702;6;19.5780620575;2;12.1750001907;12.4126424789;4;27.021669507;
14;1;11.0206890106;9.78903102875;6;20.2480106354;2;14.1750001907;12.9308347702;4;28.0170379877;
15;2;13.0206890106;10.5240049362;5;21.8052330017;2;16.1749992371;13.3366470337;4;28.8480272293;
16;2;15.0206890106;10.8026161194;5;22.3368599415;2;17.2996768951;13.6469516754;4;29.5537353754;
17;2;16.0206890106;11.0609302521;4;22.7862389088;2;18.3536891937;13.879781723;4;30.0669906139;
18;2;17.2805233002;10.8157100677;4;23.167105794;2;19.4150733948;14.0;4;30.375654459;
19;2;18.0206890106;11.4595890045;4;23.32964468;2;20.4845237732;14.0;4;30.7230784893;
20;2;18.9500007629;11.5318574905;4;23.4249849319;2;20.9126911163;14.0;4;31.1118502617;
21;2;18.9500007629;11.5699939728;4;23.5258028507;2;20.2999992371;14.9335546494;4;31.544028759;
22;2;18.9500007629;11.7629013062;5;23.6322153807;2;21.0974063873;14.0;4;32.0209121704;
23;2;19.3172492981;11.0;6;23.7443124056;2;21.2047042847;14.0;5;32.5427899361;
24;2;19.3424720764;11.0;6;23.8621526957;2;20.2999992371;15.0;5;33.1086950302;
25;2;18.9500007629;11.9310760498;6;23.9857594967;2;21.2999992371;14.0;6;33.7161855698;
26;2;18.9500007629;11.9928798676;6;24.1151165962;2;21.5861415863;14.0;6;34.3611893654;
27;2;18.9500007629;12.0575580597;6;24.2501642704;2;21.7312660217;14.0;6;35.0379443169;
28;3;19.456287384;11.0;7;37.1407959461;2;21.8835372925;14.0;6;35.7390680313;
29;4;19.9500007629;12.0;6;37.9243543148;2;22.0412902832;14.0;6;36.4557781219;
30;4;18.9500007629;13.2684268951;6;38.6596608162;2;20.2025489807;15.0;6;37.1782588959;
31;4;18.9500007629;15.2684268951;6;39.3438017368;2;19.36510849;16.0;6;37.8961582184;
32;5;18.9500007629;16.5599250793;4;48.956397295;2;18.5266342163;17.0;6;38.5991659164;
33;5;20.6761760712;16.5599250793;5;49.9883813858;3;18.6848106384;18.5;5;40.2776012421;
34;5;22.0;17.5599250793;6;50.951859951;3;18.8374595642;19.5;5;41.0829507113;
35;5;24.0;19.5599250793;6;51.8472151756;3;18.6826629639;20.0;5;41.8720289469;
36;5;26.0;21.1604938507;7;52.6760876179;3;18.818862915;21.0;6;42.6426382065;
37;5;27.3969764709;22.3181495667;7;53.4410674572;3;18.9449157715;22.0;6;43.3946415186;
38;5;27.9323539734;23.4778575897;7;54.1324129105;3;19.0601062775;23.0;7;44.1298120022;
39;6;28.0887718201;24.639081955;6;69.6143431664;3;19.1641349792;24.0;7;44.8515264988;
40;6;27.0887718201;26.8012599945;6;70.8195981979;3;19.2570705414;25.0;7;45.564340353;
41;6;27.5375003815;28.9638156891;7;71.9177517891;3;19.3392829895;26.0;7;46.273496151;
42;6;28.5375003815;31.1261634827;8;72.9085297585;3;19.4113693237;27.0;7;46.9843993187;
43;6;29.5375003815;33.2877197266;8;73.7952823639;3;20.4740829468;25.0;7;47.7020950317;
44;6;30.5375003815;35.4479026794;8;74.5840396881;3;19.5282669067;26.0;7;48.4307789803;
45;6;33.5374984741;36.4479026794;9;75.2825698853;3;19.574798584;27.0;10;49.1086950302;
46;6;36.5374984741;38.4479026794;11;75.8378458023;3;20.6000003815;25.0;10;49.7161855698;
