Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;11.0;10.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;11.0;10.0;4;20.0;1;8.0;12.0;6;20.0;
4;1;11.0;10.0;4;20.0;1;8.0;11.0;6;20.0;
5;1;12.0;10.0;3;20.0;1;8.0;10.0;6;20.0;
6;1;13.0;10.0;3;20.0;1;9.0;10.0;5;20.0;
7;1;14.0;10.0;3;20.3999996185;2;9.5;10.3000001907;4;21.0;
8;1;14.1800003052;10.1999998093;3;20.7264003754;2;9.72500038147;10.0;4;21.3999996185;
9;1;14.3268795013;10.3632001877;3;21.8194274902;2;9.81500053406;10.1999998093;4;21.7264003754;
10;1;14.8187427521;10.9097137451;3;22.7316036224;2;9.88844013214;10.3632001877;4;21.9903717041;
11;1;15.8187427521;11.3658018112;3;23.4745616913;2;9.94783401489;10.4951858521;4;23.0719120502;
12;1;16.8187427521;11.7372808456;3;24.0673980713;2;10.1911802292;11.0209560394;3;23.9749414921;
13;1;17.8187427521;12.0336990356;4;24.5325260162;2;11.9614667892;11.4571752548;3;24.7131726742;
14;1;18.8187427521;12.2662630081;4;24.892534256;2;13.9614667892;11.8107032776;3;25.3067810535;
15;1;19.8187427521;12.446267128;4;25.0;2;15.9614667892;12.0916318893;3;25.7784451246;
16;1;20.8187427521;12.5;4;25.0;2;16.9828968048;12.3113050461;3;26.1504684687;
17;1;21.8187427521;12.5;4;25.0;2;17.9902935028;12.4808797836;3;26.2221269608;
18;1;22.8187427521;12.5;5;25.0;2;18.9978122711;12.5;4;26.2560760975;
19;1;23.25;12.5;5;25.0;2;19.907617569;12.5;4;26.2905418873;
20;1;23.25;12.5;5;25.0;2;19.9153709412;12.5;4;26.3255085945;
21;1;23.25;12.5;5;25.0;2;19.9232387543;12.5;4;26.3609591722;
22;1;23.25;12.5;6;25.0;2;19.9312152863;12.5;4;26.3968753815;
23;1;23.25;12.5;6;25.0;2;19.9392967224;12.5;5;26.4332377911;
24;1;23.25;12.5;7;25.0;4;19.947479248;12.5;3;26.4700255394;
25;1;23.25;12.5;6;25.0;4;19.9557552338;12.5;4;26.5072168112;
26;1;23.25;12.5;6;25.0;4;19.9641227722;12.5;5;26.5447884798;
27;1;23.25;12.5;6;25.0;4;19.9725780487;12.5;5;26.5827163458;
28;2;24.25;12.5;5;26.0;4;19.9811115265;12.5;5;26.6209751368;
29;2;25.25;12.8999996185;5;26.0900000334;4;17.9897193909;13.5;5;26.6595385075;
30;2;25.25;12.9359998703;5;26.1871190071;4;16.9983959198;14.5;5;26.6983793974;
31;2;25.25;12.9748477936;4;26.2917383909;4;16.0071353912;15.5;5;27.7374696732;
32;2;25.25;13.0166950226;4;26.4042263031;4;16.0159301758;16.5;5;27.8267804384;
33;3;25.25;13.0616903305;3;26.5249304771;4;16.3997764587;17.5;5;27.9182572365;
34;3;25.25;12.5;4;26.6541694403;4;16.6566085815;18.5;5;28.0118947029;
35;3;25.25;13.1616678238;4;26.7922235727;4;16.6776752472;19.5;5;28.1076819897;
36;3;25.25;13.2168893814;4;26.9393253326;4;16.6992282867;20.5;5;28.2056018114;
37;3;25.25;13.2757301331;4;27.0956480503;4;16.7212600708;21.5;5;28.3056304455;
38;3;26.1930408478;15.2757301331;4;27.261295557;4;16.7437667847;22.5;6;28.4077368975;
39;3;26.2675819397;17.2757301331;5;27.4362905025;4;16.766740799;23.5;6;28.5118829012;
40;4;26.3463306427;19.2757301331;4;27.6205644608;4;16.7901744843;24.5;6;28.6180220842;
41;4;26.4292545319;21.2757301331;4;27.8139474392;4;16.8140544891;25.5;6;28.7260998487;
42;4;26.5162773132;22.5;4;28.016159296;4;16.8383731842;26.5;6;28.8360536098;
43;4;26.6072711945;22.5;4;28.2268030643;4;16.863111496;27.5;7;28.9478113651;
44;4;26.7020606995;22.5;5;29.445360899;4;16.8882579803;28.5;7;29.0612924099;
45;4;27.8004131317;23.5;5;29.6911919117;4;16.9137916565;29.5;7;29.1764070988;
46;4;28.9020366669;24.5;5;29.9437305927;4;17.9396915436;27.5;7;29.2930566072;
47;4;29.4746780396;25.5;9;30.2020941973;4;16.5249233246;28.5;8;29.4111330509;
48;5;29.5909423828;26.5;6;59.2152932882;4;16.5336742401;29.5;8;29.5305197239;
49;5;30.7093830109;28.5;7;61.4947469234;4;17.0;29.5;8;29.6510908604;
50;5;31.8295097351;29.5;8;63.2985743284;4;18.0;30.5;8;29.7727127075;
51;5;31.9508056641;30.5;10;64.6847853661;4;19.5595302582;31.5;8;29.8952438831;
52;5;32.0727272034;31.5;10;65.737005949;4;20.0;32.5;8;30.0185348988;
53;5;32.1947059631;32.5;10;66.5392649174;4;21.5763778687;33.5;10;30.1424300671;
54;5;32.3161811829;33.5;12;66.8313189745;4;21.625;33.5;12;30.2667675018;
55;5;32.4365921021;34.5;12;67.0953398943;4;22.2178630829;31.5;12;30.3913805485;
56;5;32.5554046631;35.5;12;67.3546617031;4;22.2259559631;30.5;12;30.5160980225;
57;5;32.6720962524;36.5;13;67.6082314253;4;21.625;30.5;11;30.6407456398;
58;5;32.7862052917;37.5;13;67.8550977707;4;22.2418193817;28.5;11;30.7651472092;
59;5;32.8972930908;38.5;14;70.2663003206;4;21.625;28.5;11;30.8891253471;
60;5;33.0049934387;39.5;14;73.0733703375;4;21.625;29.4669322968;12;31.0125031471;
61;5;33.5905990601;41.0;18;75.1340030432;4;21.625;29.4903411865;13;31.1351046562;
62;6;34.0730514526;42.3899993896;14;85.0941157341;4;21.625;29.5133628845;13;31.2567567825;
63;7;36.4673538208;41.6872596741;13;86.1919027567;4;22.2794246674;27.5133628845;13;31.3772895336;
64;7;38.1563224792;41.9097442627;14;86.9963253736;4;22.286567688;27.5;14;31.4965384007;
65;8;39.9866371155;42.0;13;87.5887668133;4;22.2935791016;27.5;14;31.6123232841;
66;8;37.4440002441;44.0;13;88.1478880644;4;21.625;28.5;15;31.6985738277;
67;9;37.2016906738;46.0;11;108.67252028;4;21.625;29.5;15;31.7836937904;
68;9;38.3003425598;49.0;10;110.96214056;4;21.625;29.6000003815;16;31.867552042;
69;9;39.3930664062;52.0;9;113.986418486;4;21.625;29.6000003815;14;31.9500255585;
70;9;38.4031906128;57.0;10;115.722531199;5;22.625;30.6000003815;13;33.0310001373;
71;9;38.4133071899;62.0;10;119.779412866;5;23.625;31.6000003815;14;33.1503705978;
72;9;39.0604515076;68.6999969482;10;122.385520697;5;23.8589992523;32.5999984741;15;33.2692251205;
73;9;40.4444084167;74.944190979;10;125.952178717;5;23.625;33.5999984741;15;33.3874804974;
74;9;41.3658180237;81.0301513672;12;128.824897528;5;23.625;34.5999984741;15;33.505059123;
75;10;42.0553359985;85.8489837646;10;131.053467393;5;23.625;34.5999984741;16;33.6218918562;
76;10;41.7363433838;90.4425964355;8;133.601107955;5;23.625;34.5999984741;17;33.7379157543;
77;10;43.8955612183;94.8398284912;9;134.737604499;5;23.9079933167;34.5999984741;17;35.0726348162;
78;10;45.0660324097;99.0;9;137.962539554;5;23.8500003815;36.0729789734;17;36.1895759106;
79;10;45.092666626;103.0;10;140.325998902;5;24.0255012512;35.5735549927;18;37.1224014759;
80;10;46.119594574;104.0;11;142.089446306;6;24.8743247986;33.8708152771;16;37.9061968327;
81;10;50.3252220154;106.0;10;144.123377442;6;24.9874687195;33.9097442627;16;38.4252265692;
82;10;53.6051139832;108.0;12;143.234172463;6;24.67146492;36.0;13;38.7626197338;
83;10;58.3974151611;112.331481934;13;144.887066007;6;25.2999992371;36.0;9;39.0981199741;
84;10;60.6053504944;116.632659912;15;146.093291163;6;24.2999992371;36.3831596375;10;39.431001544;
85;10;60.6870727539;116.657325745;15;147.152306318;7;25.0782356262;34.3831596375;10;39.7605893612;
86;10;61.3152351379;116.765312195;17;148.227571487;7;25.0902309418;34.0;10;40.0862648487;
87;10;61.4227600098;120.455345154;17;149.243452787;7;24.2999992371;35.0;10;40.4074690342;
88;11;61.5164260864;118.518013;16;150.205111146;7;25.1135005951;34.0;10;40.7237040997;
89;11;61.620513916;117.582321167;18;151.182113528;7;24.2999992371;35.0;10;41.0345332623;
