Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;6.0;12.0;4;20.0;1;13.0;10.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;13.0;10.0;5;20.0;
3;1;8.0;10.0;5;20.0;1;13.0;10.0;5;20.0;
4;1;9.0;10.0;4;20.0;1;14.0;10.0;5;20.0;
5;1;9.0;10.0;4;20.0;1;15.0;10.0;5;20.0;
6;1;10.0;10.0;3;20.0;1;16.0;10.0;5;20.3999996185;
7;1;11.0;10.0;3;20.0;1;17.0;10.1999998093;5;20.7264003754;
8;1;11.0;10.0;3;20.3999996185;2;18.4358406067;10.3632001877;4;22.8194274902;
9;1;11.1199998856;10.1999998093;3;20.7264003754;2;20.0916557312;10.9097137451;4;23.7616035938;
10;2;11.2179203033;10.5631999969;2;21.9903717041;2;22.0916557312;11.3658018112;4;24.5351526737;
11;2;11.597111702;10.4951858521;2;23.0719120502;2;24.0916557312;11.7372808456;4;25.1591641903;
12;2;11.9215736389;11.0209560394;2;23.9749414921;2;26.0916557312;12.0336990356;5;25.6560432911;
13;2;13.9215736389;11.4571752548;3;24.7131726742;2;27.7657661438;12.2662630081;5;26.0483692884;
14;2;15.9215736389;11.8107032776;3;25.3067810535;2;28.78515625;12.446267128;5;26.1887089014;
15;2;16.94962883;12.0916318893;3;25.7784451246;2;29.8048820496;12.5;5;26.2221269608;
16;2;17.9593238831;12.3113050461;3;26.1504684687;2;30.8249320984;12.5;5;26.2560760975;
17;2;18.9691867828;12.4808797836;3;26.2221269608;2;31.8453025818;12.5;5;26.2905418873;
18;2;19.9792118073;12.5;3;26.2560760975;2;32.7743263245;12.5;5;26.3255085945;
19;2;20.989397049;12.5;3;26.2905418873;2;32.7953033447;12.5;5;26.3609591722;
20;2;21.8871631622;12.5;4;26.3255085945;2;32.8165740967;12.5;5;26.3968753815;
21;2;21.8976516724;12.5;4;26.3609591722;2;32.8381271362;12.5;7;26.4332377911;
22;2;21.9082870483;12.5;4;26.3968753815;2;32.8599433899;12.5;7;26.4700255394;
23;3;21.9190635681;12.5;3;26.4332377911;2;32.8820152283;12.5;7;26.5072168112;
24;3;21.5;12.5;3;26.4700255394;2;32.9043312073;12.5;7;26.5447884798;
25;3;21.5;12.9410076141;3;26.5072168112;2;32.9268722534;12.5;8;26.5827163458;
26;3;21.9521656036;12.5;3;26.5447884798;2;32.9496307373;12.5;8;26.6209751368;
27;3;21.9634361267;12.5;5;26.5827163458;2;32.9725837708;12.5;8;26.6595385075;
28;4;21.5;13.2913579941;4;26.6209751368;2;32.9957237244;12.5;8;26.6983793974;
29;4;21.9862918854;12.5;4;26.6595385075;2;33.01902771;12.5;8;26.7374696732;
30;4;21.9978618622;12.5;4;26.6983793974;2;33.0424804688;12.5;8;26.7767804861;
31;4;22.009513855;12.5;4;26.7374696732;2;33.0660667419;14.5;8;26.8162822723;
32;4;22.0212402344;12.5;4;26.7767804861;2;33.0897674561;16.5;8;26.8559447527;
33;4;21.5;13.3883905411;4;27.8162822723;2;33.1135673523;18.5;8;26.8957372904;
34;4;22.5;13.9081411362;4;27.8859447241;2;33.1374435425;20.5;8;26.9356285334;
35;4;22.0567836761;13.5;5;27.9563282728;2;33.1613769531;22.5;8;26.9755871296;
36;4;23.0687217712;13.030295372;5;28.0273946524;2;33.1853523254;22.5;9;27.015581131;
37;4;23.8275299072;13.4678144455;5;28.0991044044;2;33.2093505859;22.5;9;27.0555787086;
38;4;22.429731369;13.5;5;28.1714161634;3;33.2333450317;22.5;9;27.0955479145;
39;4;22.5;14.077917099;5;28.2442876101;3;33.2573280334;22.5;9;27.135456562;
40;4;23.8566131592;13.5277891159;5;28.3176748753;3;33.2812728882;22.5;9;27.17527318;
41;5;22.395772934;13.5;3;43.3915326595;3;33.3051643372;22.5;10;27.2149660587;
42;5;21.5;15.4823102951;3;44.2158150673;3;33.3289794922;22.5;10;27.2545039654;
43;5;23.5;19.4823093414;3;45.9598491192;3;33.3527030945;22.5;11;27.293856144;
44;5;27.4559288025;24.4823093414;3;46.662752986;4;34.3763122559;23.5;10;28.3329925537;
45;5;29.7261734009;29.4823093414;3;47.2881851196;4;35.3997955322;24.5;10;28.4618836641;
46;5;30.6612606049;32.730682373;4;47.8411102295;4;35.4231300354;25.5;10;29.597619772;
47;5;31.7668819427;34.7048683167;5;48.3281065226;4;37.1585693359;27.5;11;29.780553937;
48;5;32.3904075623;36.3443031311;6;48.7565770149;4;38.2443313599;29.5;12;29.9722113609;
49;5;33.4008331299;36.8880653381;6;49.1341148615;4;38.3346176147;30.5;12;31.2334494591;
50;5;34.4111785889;36.9008903503;7;49.3743335009;4;39.0529632568;32.0;12;32.2885764837;
51;5;35.1022987366;36.5999984741;6;49.4984380007;4;39.6458129883;33.3899993896;11;33.172554493;
52;5;35.6653175354;36.7612380981;6;49.6235958338;4;37.4247131348;33.6872596741;12;33.9216942787;
53;5;36.3702964783;35.5999984741;7;49.7497341633;4;39.6916885376;34.5875968933;12;34.4213808775;
54;5;36.0016021729;36.2683029175;7;49.8767764568;4;39.4789733887;35.7161140442;7;34.7557305098;
55;5;35.7061767578;36.5999984741;7;50.0046428442;4;39.5159378052;35.9479141235;8;35.105309248;
56;5;36.0211448669;36.3161964417;8;50.1332499981;5;39.5526618958;36.0921020508;7;35.4700194597;
57;5;35.7348480225;36.5999984741;8;50.2625112534;5;39.5890960693;36.2440948486;7;35.8495953083;
58;5;35.2999992371;37.6270217896;9;50.3923369646;5;39.6252059937;36.403793335;9;36.2435854673;
59;5;36.5140838623;35.5999984741;9;50.5226341486;5;39.6609420776;36.5710067749;9;36.6513392925;
60;5;36.0586738586;36.41746521;9;50.6533075571;5;40.696269989;36.8852882385;10;37.0719971657;
61;5;35.2999992371;37.443813324;10;50.7842587233;6;41.7311515808;37.8852882385;7;52.5044853687;
62;5;36.5875434875;35.5999984741;10;52.5721540451;6;43.2070999146;39.8852882385;8;53.9975190163;
63;5;35.826499939;37.9579849243;11;54.0486657619;6;44.4102058411;41.8852882385;10;55.4045886993;
64;5;37.0605316162;37.346282959;12;55.2587468624;6;44.6171302795;43.8852882385;10;56.713476181;
65;5;36.5879211426;38.651550293;12;56.2494299412;6;44.8269691467;45.8852882385;11;57.9186947346;
66;5;36.851776123;39.3245315552;12;56.9018757343;6;45.0387268066;47.8852882385;11;59.0205690861;
67;7;39.5168037415;37.9000015259;9;63.8824903965;6;45.2513504028;49.8852882385;13;60.0238060951;
68;8;40.8831596375;40.9000015259;9;64.3316454887;6;45.4637451172;51.8852882385;14;60.4359509945;
69;8;42.8985824585;41.9000015259;10;67.2112762928;6;45.6747894287;53.4706726074;14;60.8555111885;
70;8;43.7659988403;46.5159988403;9;69.60587883;6;45.8833808899;54.5303573608;15;61.7786328793;
71;9;46.1789131165;48.6025314331;8;81.5875794888;6;46.0884513855;55.5906448364;14;62.6132228374;
72;9;48.6829605103;49.3076019287;9;83.9360510111;6;46.2889862061;56.651386261;16;63.3688213825;
73;9;50.122882843;51.5394439697;9;85.8286548853;6;46.4840660095;57.7124404907;16;64.0020823479;
74;9;51.4307823181;53.6125411987;10;88.2512836456;6;46.6728515625;58.7736663818;15;64.4275417328;
75;11;53.582649231;56.3985977173;6;94.5965543985;6;46.854637146;59.834903717;15;64.8400945663;
76;11;55.5585098267;60.3386955261;6;96.0505287647;7;47.028842926;60.8960113525;15;65.2271869183;
77;11;57.5403747559;64.2833633423;8;97.4557987452;7;47.1881141663;61.4568328857;16;65.5713167191;
78;11;56.5413284302;68.3673706055;9;98.8096123934;7;45.3221206665;64.8241195679;16;65.4012351036;
79;11;58.6778564453;68.3218536377;9;100.110839844;7;42.9221153259;67.9078674316;17;66.0240182877;
80;11;59.4305000305;71.1467819214;10;101.35968864;7;41.9221153259;70.7906265259;19;66.5169277191;
81;12;59.6353149414;73.2688369751;9;102.557390094;7;41.9221153259;67.8722000122;19;66.802397728;
82;12;59.825717926;75.3340682983;9;103.705892444;7;41.9221153259;67.9524230957;19;68.0730085373;
83;12;58.6717529297;78.4097442627;11;104.807586551;8;40.9221153259;72.0311203003;19;68.5289685726;
84;12;58.8078269958;80.5279083252;10;105.811736703;8;42.7999992371;72.1081542969;19;69.4917458296;
85;13;59.9325561523;76.6465606689;10;111.663275599;8;41.7999992371;75.5218734741;20;70.5009096861;
86;14;61.4312019348;78.7606201172;10;112.622782946;8;42.7999992371;76.8042297363;20;71.5600159168;
87;14;62.5168800354;80.8896102905;12;113.570970654;9;42.7999992371;78.0932617188;20;72.5976707935;
88;14;62.5996017456;82.2858734131;12;114.50585866;9;42.7999992371;78.3867645264;20;73.6741781235;
89;14;62.6791648865;87.7697601318;12;115.425596833;9;42.7999992371;79.6823654175;20;75.8194375038;
90;14;62.7554130554;89.7686386108;13;116.328463793;9;43.7999992371;80.0375823975;20;77.0751047134;
91;14;55.249797821;94.2244415283;13;117.212869048;9;44.7999992371;81.3299407959;20;78.402695179;
92;14;53.2399978638;98.483001709;13;119.077353358;9;43.7999992371;85.6169967651;21;79.8005545139;
93;15;52.2399978638;103.743835449;12;119.919108748;9;44.7999992371;86.8135223389;22;82.2642897367;
94;15;53.2399978638;107.737228394;13;121.987007141;9;44.7999992371;88.8473129272;22;83.9060459137;
95;15;53.2399978638;111.355667114;14;124.08368814;9;45.7999992371;92.788444519;23;86.7944241762;
96;15;53.2399978638;114.004692078;14;126.194826603;10;46.7999992371;95.0339813232;22;89.6513819695;
97;15;53.2399978638;119.106124878;16;128.305574059;11;46.7999992371;96.2655105591;21;92.4672396183;
98;15;52.5999984741;124.187400818;17;131.400998473;11;45.7999992371;100.482246399;21;95.2251154184;
99;15;55.5999984741;124.44908905;18;134.526533484;11;46.7999992371;101.683746338;21;97.9010094404;
100;15;57.5999984741;129.147232056;21;136.791359663;11;45.7999992371;104.869873047;22;100.323428988;
