Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
1;1;6.0;13.3000001907;4;17.0;1;6.0;14.0;4;20.0;
2;1;7.0;12.3000001907;4;17.0;1;7.0;13.0;6;20.0;
3;1;7.55000019073;11.3000001907;4;17.0;2;8.0;12.3000001907;5;21.0;
4;1;7.55000019073;10.3000001907;4;17.0;2;9.30000019073;11.0;5;21.0599999428;
5;1;7.55000019073;9.30000019073;4;17.0;2;10.3179998398;10.0;5;21.1229639053;
6;1;8.55000019073;8.5;4;17.0;2;11.5053339005;10.0;5;21.1889609098;
7;1;8.82499980927;8.5;4;17.0;2;12.5350322723;10.0;5;21.2580518723;
8;2;8.82499980927;8.89999961853;3;18.0;2;13.5661230087;10.0;5;21.7428686619;
9;2;9.05000019073;8.5;3;18.4175001383;2;14.6042909622;10.1999998093;4;22.1586660147;
10;2;9.14393806458;8.67000007629;3;18.788015008;2;14.9713993073;10.3632001877;4;23.3744058609;
11;2;9.22730350494;8.81392192841;3;19.1179523468;2;15.5184831619;10.9097137451;4;24.4179002047;
12;2;9.30154037476;8.93486309052;3;20.1658034325;2;15.9880561829;11.3658018112;3;25.3010519743;
13;2;9.53730583191;9.39324569702;3;21.10041821;2;18.5775756836;11.7372808456;3;26.0431767702;
14;2;11.3632192612;9.78903102875;3;21.9260679483;2;20.5775756836;12.0336990356;3;26.6668455601;
15;2;13.3632192612;10.1240053177;3;22.6523033381;2;21.7791862488;12.2662630081;3;27.194732666;
16;2;15.0206890106;11.1414442062;3;23.291844368;2;22.8547325134;12.446267128;3;27.4794170856;
17;2;16.4774360657;10.6309299469;3;23.8587193489;2;23.9344806671;12.5;3;27.6658837795;
18;2;17.0206890106;11.7066297531;3;24.3668618202;2;25.0183906555;12.5;4;27.86140275;
19;2;18.5695533752;10.9637317657;3;24.666520834;2;26.1063728333;12.5;4;28.0656666756;
20;2;18.9500007629;12.0;5;24.9087336063;2;26.6295509338;12.5;4;28.2782502174;
21;3;18.9500007629;12.1634931564;5;25.1659023762;2;26.7252120972;12.5;4;28.4986059666;
22;4;18.9500007629;12.5829515457;4;35.4376664162;3;26.8243732452;12.5;3;28.7260642052;
23;4;20.7234764099;12.0;5;36.1234164238;3;26.9267292023;12.5;4;28.9598350525;
24;4;21.7877693176;13.0;5;36.7966794968;4;25.25;13.5;3;29.1990156174;
25;4;20.9500007629;15.0;5;37.4550490379;4;24.25;13.5;3;29.4425997734;
26;4;20.9500007629;17.0;5;38.0965270996;4;24.2491703033;14.5;3;29.6894927025;
27;4;20.9500007629;17.9040603638;6;38.7194705009;4;23.25;13.5;3;29.9385285378;
28;6;20.9500007629;18.1862640381;3;52.0725255013;4;24.25;14.5;3;30.1884908676;
29;6;19.9500007629;20.4612083435;4;53.2920684814;4;25.25;15.5;3;31.4381356239;
30;6;20.9500007629;19.4612083435;4;54.4361829758;4;25.25;14.5;3;31.7762159109;
31;6;21.3019790649;20.8002166748;4;55.5014066696;4;26.25;14.5;3;33.4823503494;
32;6;21.4295978546;22.8002166748;4;56.4865617752;4;25.9703540802;15.5;4;34.9313243628;
33;6;22.0;22.8002166748;4;57.3924131393;5;25.1323451996;16.5;3;36.1553707123;
34;6;23.4620361328;23.0793838501;4;58.117181778;5;24.2936058044;17.5;3;37.1934733391;
35;6;24.5438499451;23.0999984741;5;58.7550239563;5;23.4529819489;18.5;3;38.0839761496;
36;6;25.6147117615;24.0999984741;6;59.337890625;5;22.6093597412;19.5;3;38.5959993601;
37;6;26.6256065369;25.0999984741;7;59.8687982559;5;21.7616996765;20.5;3;40.0705652237;
38;6;26.6775779724;26.0999984741;8;60.3380527496;5;21.9090576172;21.5;5;40.59146595;
39;6;26.71875;27.0999984741;8;60.6096019745;5;24.050617218;22.5;6;41.1092679501;
40;6;26.71875;28.0736408234;10;60.8656797409;5;22.6815872192;26.5;6;41.6228324175;
41;6;25.71875;27.0736408234;10;61.1058158875;5;23.3137664795;28.5;6;42.1312562227;
42;6;25.71875;27.0736408234;11;61.3298110962;5;22.7298126221;32.5;7;42.6338503361;
43;6;24.71875;26.0736408234;10;61.5377111435;5;22.8689556122;36.5;7;43.1301124096;
44;6;26.71875;28.0999984741;11;61.7297744751;5;23.0012779236;37.5;8;43.6196893454;
45;6;26.71875;32.0999984741;11;61.9064388275;6;23.500328064;36.4745101929;8;44.1023372412;
46;7;27.71875;34.0999984741;10;82.0682878494;6;23.245639801;36.5;8;44.5778814554;
47;7;29.71875;38.0999984741;11;83.4160165787;6;23.3580093384;37.5;9;45.0461798906;
48;7;31.0736045837;42.0999984741;11;84.5679979324;6;23.4641895294;38.5;10;45.5070877075;
49;8;32.1038398743;43.0999984741;11;85.5302190781;6;23.5645084381;39.5;11;45.9604315758;
50;8;33.1312561035;44.0999984741;12;86.236333847;6;23.659330368;40.5;12;46.4059920311;
51;8;32.1312561035;46.0999984741;13;86.773645401;6;23.7490386963;41.5;12;46.7615339756;
52;8;32.71875;47.0999984741;13;87.1926937103;6;23.7971477509;42.5;12;47.0889006853;
53;8;33.71875;48.0999984741;14;87.5;7;23.8320274353;43.5;12;47.4179201126;
54;8;34.34375;49.0999984741;14;87.5;7;23.8676624298;44.5;13;47.7472558022;
55;8;34.34375;50.0999984741;15;88.5;7;23.9040088654;45.5;13;49.0755777359;
56;8;35.34375;52.0999984741;15;88.5425000191;7;25.9410247803;44.5;13;49.4715875387;
57;8;36.34375;54.0999984741;16;88.5863631964;7;27.9786605835;44.5;14;49.8681920767;
58;8;36.5881843567;56.0999984741;17;88.6315953732;7;29.0168647766;44.5;14;50.2643620968;
59;9;36.34375;58.0999984741;17;88.6781990528;7;30.0555839539;44.5;15;51.6591523886;
60;9;36.6088447571;59.7749977112;17;88.726172924;7;32.0947570801;45.5;15;52.0917127132;
61;9;36.6196403503;59.7749977112;17;88.7755119801;7;34.1343193054;45.5;16;52.5224796534;
62;9;36.6307411194;59.7749977112;18;88.8262070417;8;35.1742095947;45.5;15;52.9508143663;
63;11;36.6421470642;59.7749977112;16;88.8782446384;8;36.2143592834;45.5;16;53.3761812449;
64;11;36.6538543701;59.7749977112;16;91.4669109583;8;37.2546958923;45.5;16;55.4929409027;
65;12;34.9748840332;61.1746864319;16;93.6004315615;8;34.9500007629;47.0800018311;17;57.2885543108;
66;12;35.9012298584;61.1299743652;16;95.3415842056;9;37.9500007629;45.5082702637;17;58.8231599331;
67;12;37.4404678345;61.6627197266;16;96.7548431158;9;39.9087295532;47.5062561035;18;60.0896276236;
68;12;37.6832199097;63.1149864197;16;97.3956224918;9;37.9500007629;50.7291793823;18;60.9655510187;
69;12;39.1186561584;60.2347259521;16;98.596825242;9;37.9500007629;50.452709198;18;61.7803702354;
70;12;38.75;64.2347259521;16;98.8095576763;9;37.9500007629;49.2643241882;19;62.4942735434;
71;12;40.75;67.8093261719;16;99.9293899536;9;37.9500007629;50.3079605103;20;63.1978952885;
72;12;44.2272605896;68.8605117798;17;100.253076553;10;38.3273620605;51.452709198;19;63.8902966976;
73;13;44.855304718;72.9124298096;17;100.618224025;10;37.4229354858;51.452709198;19;64.5707933903;
74;13;45.4846687317;77.9650421143;17;101.030855417;10;37.5220184326;53.452709198;20;65.2389001846;
75;13;46.1153717041;82.0182876587;17;101.497503161;10;35.9500007629;57.452709198;20;65.0424292088;
76;13;46.1474304199;86.0721206665;20;102.025056601;10;36.0;61.2527084351;20;64.8909871578;
