Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
1;1;6.0;12.0;4;20.0;1;11.3999996185;16.0;4;32.0;
2;1;7.0;11.0;5;20.0;1;11.3999996185;16.0;4;32.0;
3;1;8.0;10.0;5;21.0;1;11.3999996185;16.0;4;32.0;
4;1;8.14999961853;10.5;5;21.8400001526;1;11.3999996185;16.0;4;32.0;
5;1;8.27600002289;10.9200000763;4;22.5301437378;1;12.3999996185;16.0;4;32.0;
6;1;9.27600002289;11.2650718689;4;23.086605072;1;13.3999996185;16.0;4;32.0;
7;1;10.194486618;11.543302536;4;23.5283432007;1;14.3999996185;16.0;4;32.6399993896;
8;1;10.2938766479;11.7641716003;4;24.1098823547;1;14.7919998169;16.3199996948;4;33.0;
9;1;10.4247236252;12.0549411774;4;24.5655879974;1;14.8999996185;16.5;4;34.6500015259;
10;1;10.5272569656;12.2827939987;4;24.9179592133;1;16.7919998169;17.3250007629;5;35.8107757568;
11;1;10.6065406799;12.4589796066;5;25.0;2;17.7919998169;17.9053878784;4;36.5947532654;
12;1;12.5272569656;12.5;5;25.0;2;18.7919998169;18.2973766327;4;37.0;
13;1;13.5272569656;12.5;5;25.0;2;19.7919998169;18.5;4;37.0;
14;1;14.5272569656;12.5;5;25.0;2;20.7919998169;18.5;4;37.0;
15;1;15.5272569656;12.5;5;25.0;2;21.7919998169;18.5;4;37.0;
16;1;16.527256012;12.5;5;25.0;2;22.7919998169;18.5;4;37.0;
17;1;17.527256012;12.5;6;25.0;2;23.1000003815;18.5;4;37.0;
18;1;17.625;12.5;6;25.0;2;23.1000003815;18.5;5;37.0;
19;1;17.625;12.5;6;25.0;2;23.1000003815;18.5;5;37.0;
20;1;17.625;12.5;6;25.0;2;23.1000003815;18.5;5;37.0;
21;1;17.625;12.5;7;25.0;2;23.1000003815;18.5;5;37.0;
22;1;17.625;12.5;7;25.0;2;23.1000003815;18.5;5;37.0;
23;1;17.625;12.5;8;25.0;2;23.1000003815;18.5;6;37.0;
24;1;17.625;12.5;8;25.0;2;23.1000003815;18.5;7;37.0;
25;1;17.625;12.5;8;25.0;2;23.1000003815;18.5;7;37.0;
26;1;17.625;12.5;8;25.0;2;23.1000003815;18.5;6;37.0;
27;1;17.625;12.5;8;25.0;2;23.1000003815;18.5;6;37.0;
28;1;17.625;12.5;8;25.0;2;23.1000003815;18.5;6;37.0;
29;1;17.625;12.5;8;25.0;2;23.1000003815;18.5;6;37.0;
30;1;17.625;12.5;8;25.0;2;23.1000003815;18.5;6;37.0;
31;1;17.625;12.5;8;25.0;2;23.1000003815;18.5;6;37.0;
32;1;17.625;12.5;8;25.0;2;23.1000003815;18.5;6;37.0;
33;1;17.625;12.5;8;25.0;2;23.1000003815;18.5;7;37.0;
34;1;17.625;12.5;8;25.0;2;23.1000003815;18.5;7;37.0;
35;1;17.625;12.5;8;25.0;2;23.1000003815;18.5;7;37.0;
36;1;17.625;12.5;8;25.0;2;23.1000003815;18.5;7;37.0;
37;1;17.625;12.5;9;25.0;3;24.1000003815;18.5;6;38.0;
38;1;17.625;12.5;9;25.0;3;25.1000003815;20.5;6;38.248239994;
39;1;17.625;12.5;8;25.0;3;25.4744720459;22.5;7;38.5550044775;
40;2;18.625;13.1999998093;7;26.0;3;25.5665016174;24.5;7;38.9323884249;
41;2;19.625;13.1999998093;7;26.0900000334;4;26.6797161102;27.5;6;40.394067049;
42;3;19.625;12.5;7;26.1871190071;4;27.1000003815;30.5;7;40.9871873856;
43;3;19.625;12.5;8;26.2917383909;4;28.2961578369;31.5;8;41.6958613396;
44;3;19.625;13.4042167664;8;26.4042263031;5;28.5087585449;32.5;8;42.5352412462;
45;3;19.625;13.4829587936;8;26.5249304771;5;28.4309692383;33.5;8;43.5183922052;
46;3;19.625;13.5674514771;8;26.6541694403;5;28.7156276703;34.0664825439;8;44.6522061825;
47;3;19.625;15.5674514771;8;26.7922235727;5;27.1000003815;35.0830383301;8;45.9401766062;
48;3;19.625;17.5674514771;9;26.9393253326;6;27.1000003815;36.0518951416;8;60.1241811514;
49;4;19.625;19.5674514771;8;27.0956480503;6;28.1000003815;37.5;8;62.321426034;
50;4;19.625;21.5674514771;8;27.261295557;6;29.1000003815;39.5;9;64.5575233698;
51;4;19.625;23.5674514771;8;27.4362905025;6;29.1000003815;41.5;10;66.7845404148;
52;4;19.625;24.2054023743;7;27.6205644608;7;30.1000003815;43.6664962769;9;68.9487655163;
53;4;19.625;24.3343963623;7;28.8139474392;7;31.1000003815;44.636100769;10;70.9965744019;
54;4;20.625;25.4697628021;7;29.0661592484;7;32.0999984741;45.5218048096;10;72.8811689615;
55;4;21.625;26.6113109589;6;29.3287780285;7;33.0999984741;45.5177764893;10;74.5664852858;
56;4;21.8729438782;27.7587623596;6;29.6013108492;7;35.0999984741;44.1701049805;11;76.0360999107;
57;4;21.8850898743;28.9117527008;6;29.8831366301;7;35.0999984741;45.1597099304;10;77.2877081633;
58;4;21.625;30.0698337555;5;30.1735079288;7;36.0999984741;45.4361190796;10;78.3192740679;
59;4;21.625;30.8674621582;5;30.4715557098;7;36.6375007629;47.1520957947;10;79.0113922358;
60;4;21.625;31.0640792847;5;30.7762981653;7;36.6375007629;48.1691932678;11;82.0552117825;
61;4;21.625;28.3990592957;4;31.0866538286;7;38.2510910034;46.8997001648;12;84.3089113235;
62;4;21.625;29.3990592957;4;31.4014571905;7;37.6863632202;48.3812446594;16;85.8961822987;
63;3;19.625;22.5;4;26.5906432867;8;37.9733352661;49.6586494446;14;91.6036139727;
64;3;19.625;22.5;4;26.6607804298;8;39.0755157471;51.665813446;14;92.4258006811;
65;3;19.625;22.5;5;26.7328453064;8;41.0999984741;50.690738678;15;92.8901286125;
66;4;20.625;23.5;4;27.8067884445;9;38.0999984741;53.7215766907;15;93.260613203;
67;4;21.625;24.5;5;27.9225509167;9;37.0999984741;56.7528533936;16;93.631180048;
68;4;21.625;25.5;5;28.0412479639;9;36.0999984741;59.1762008667;17;93.9999244213;
69;4;21.625;26.5;5;28.1628029346;9;36.0999984741;58.1783256531;17;94.3649852276;
70;3;21.625;27.5;5;28.2871264219;10;34.0999984741;62.1168174744;17;94.7245850563;
71;3;21.625;27.5;6;28.4141167402;10;33.0999984741;65.0879516602;18;95.0770697594;
72;3;21.625;27.5;6;28.5436594486;10;32.0999984741;68.0598449707;21;95.4209425449;
73;2;19.625;22.5;6;26.3048160076;11;31.1000003815;71.0326538086;18;98.0407996178;
74;2;19.625;22.5;6;26.3530313969;11;31.1000003815;75.006477356;18;98.5171821117;
75;2;19.625;22.5;6;26.4294366837;11;31.1000003815;78.9814300537;19;98.9881808758;
76;2;19.625;22.5;3;27.5090643167;11;30.1000003815;82.9575805664;17;99.4528839588;
77;2;19.8500003815;23.0;3;28.3719267845;11;31.1000003815;84.9575805664;17;99.9105157852;
78;2;20.0255012512;23.3899993896;4;29.05253613;11;30.1000003815;89.6637573242;16;100.36042428;
79;2;20.1592674255;24.5262680054;4;29.586807251;11;30.1000003815;93.6459503174;17;100.80206418;
80;2;20.6570320129;23.9097423553;4;29.8598008156;11;31.1000003815;94.6276092529;18;101.234978914;
81;2;20.718454361;24.0;4;29.9553983212;11;30.1000003815;98.6088027954;18;101.658782721;
82;2;20.2999992371;24.9776992798;4;30.054040432;11;30.1000003815;102.589576721;18;102.073141575;
83;2;20.7621574402;24.0;4;30.1556324959;11;31.1000003815;103.142608643;23;102.477760315;
84;2;20.7850170135;24.0;5;30.2600593567;11;30.1000003815;105.730331421;23;102.872366667;
85;2;20.8085136414;24.0;5;30.3671848774;11;30.1000003815;105.741943359;24;103.256705284;
86;2;20.8326148987;24.0;5;30.4768521786;11;31.1000003815;103.753013611;25;103.574347973;
87;2;20.8572902679;24.0;5;30.5888838768;11;30.1000003815;104.763595581;26;103.84250617;
88;1;18.2999992371;19.0;5;28.0;12;30.1000003815;105.773727417;25;106.697301626;
89;1;18.2999992371;19.0;5;28.0;13;32.0999984741;104.783462524;25;107.074294567;
90;1;18.2999992371;19.0;5;28.0;13;33.0999984741;103.965377808;25;107.449282169;
91;1;18.2999992371;19.0;6;28.0;13;32.0999984741;106.974464417;25;107.821236372;
92;1;18.2999992371;19.0;7;28.0;13;32.0999984741;110.671066284;25;108.189167023;
93;1;18.2999992371;19.0;7;28.0;13;32.0999984741;113.690475464;26;108.552135468;
94;1;18.2999992371;19.0;7;28.0;14;34.376625061;116.709472656;27;108.909262419;
95;1;18.2999992371;19.0;7;28.0;14;35.4117660522;119.728088379;28;110.259737015;
96;1;18.2999992371;19.0;7;28.0;14;37.4462585449;120.404312134;29;110.771989346;
97;1;18.2999992371;19.0;8;28.0;14;37.9453048706;124.410018921;29;111.302834749;
98;1;18.2999992371;19.0;8;28.0;14;37.1011314392;128.415420532;32;111.855177402;
99;1;18.2999992371;19.0;8;28.0;14;37.8535957336;129.420578003;33;112.432204723;
100;1;18.2999992371;19.0;10;28.0;15;36.9082069397;133.425506592;33;113.037298679;
