Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;6.0;13.3000001907;4;17.0;1;6.0;14.0;4;20.0;
2;1;7.0;12.3000001907;5;17.0;1;7.0;13.0;6;20.0;
3;1;7.55000019073;11.3000001907;5;17.0;2;8.0;12.5;5;21.0;
4;1;7.55000019073;10.3000001907;5;17.0;2;8.14999961853;11.0;5;21.0399999619;
5;2;7.55000019073;9.69999980927;4;18.0;2;8.15600013733;10.0;5;21.0811839104;
6;2;8.7750005722;8.5;4;18.0674999952;2;9.0;10.5405921936;5;21.1235535145;
7;2;9.06518745422;8.5;4;18.1388356686;2;9.5;10.5617771149;5;21.1671074629;
8;2;9.08123779297;8.5;4;18.2141259909;2;9.5;10.5835533142;5;21.6235121489;
9;2;9.09817790985;8.5;4;18.6456211805;2;9.59000015259;10.811756134;5;22.0083538294;
10;2;9.19526576996;8.67000007629;4;19.0306602716;2;9.66343975067;11.0041770935;5;22.3328083754;
11;2;9.28189849854;8.81392192841;4;19.3756101131;2;9.72283363342;11.1664037704;5;23.4737223387;
12;2;9.35951328278;8.93486309052;4;20.4466397762;2;9.95943069458;11.7368612289;5;24.4402047396;
13;2;9.60049343109;9.39324569702;5;21.4057168961;2;11.7228336334;12.2201023102;5;25.2460467815;
14;2;11.4319114685;9.78903102875;5;22.257011652;2;13.7228336334;12.6230230331;5;25.9114806652;
15;2;13.4319114685;10.1240053177;5;23.0099308491;2;15.7228336334;12.955739975;5;26.4592169523;
16;2;15.0206890106;11.2844953537;5;23.6770029068;2;16.7228336334;13.2296085358;5;26.9115637541;
17;2;16.5640964508;10.6309299469;5;24.2720131874;2;17.7228336334;13.4557819366;5;27.0677711964;
18;2;17.0206890106;11.8157100677;5;24.8085989952;2;18.7228336334;13.5338859558;6;27.1904361248;
19;2;18.0206890106;12.116186142;5;25.1366593838;2;19.625;13.5952177048;6;27.3176908493;
20;2;18.9500007629;12.2546634674;6;25.4068305492;2;19.625;13.6588459015;6;27.4493892193;
21;2;18.9500007629;12.3627319336;6;25.6910681725;2;19.625;13.9696331024;6;27.5853452682;
22;2;18.9500007629;12.8455343246;6;25.9885287285;2;19.625;14.0512075424;6;27.725332737;
23;2;18.9500007629;12.9942646027;6;26.2980971336;2;19.625;14.1351995468;6;27.8690850735;
24;3;19.9170722961;11.0;5;26.6183872223;2;19.625;14.2214508057;8;28.016295433;
25;3;17.9891376495;12.0;6;26.9477529526;3;19.625;14.3097772598;7;28.1666185856;
26;4;17.0632457733;13.0;5;27.2843112946;3;19.625;14.3999710083;7;28.3196732998;
27;4;16.1389713287;14.0;5;27.6259784698;3;19.625;14.4918041229;7;28.4750449657;
28;4;15.9500007629;13.0;5;27.9705147743;3;19.625;14.585026741;8;28.6322891712;
29;4;16.9500007629;13.0;5;28.3155798912;3;19.625;14.6793737411;9;28.7909369469;
30;4;17.9500007629;14.0;5;28.6587948799;3;18.4779605865;13.6793737411;9;28.950499773;
31;4;15.9500007629;16.0;5;29.9978079796;3;17.5138626099;14.5;9;29.1104750633;
32;4;15.9500007629;18.0;5;30.4053571224;3;16.5498561859;15.5;10;29.2703528404;
33;4;16.0;20.0;5;30.8091514111;3;15.5858287811;16.5;10;29.4296216965;
34;4;16.2598342896;21.8888988495;5;31.2074710131;3;14.9966650009;17.5;10;29.5877761841;
35;4;16.27891922;23.1710453033;4;31.5988306999;3;15.0322494507;18.5;9;29.7443213463;
36;4;16.2991695404;24.4422683716;4;31.982006073;3;15.0674724579;19.5;9;29.8987812996;
37;4;16.3206214905;25.7013187408;5;32.3560478687;3;15.1022262573;20.5;9;30.0507030487;
38;4;17.0;24.9472198486;5;32.7202814817;3;15.1364078522;21.5;9;30.1996631622;
39;4;16.3672485352;25.1792602539;5;33.0742970705;3;15.1699237823;22.5;10;30.3452711105;
40;4;16.3924713135;26.3969860077;5;33.4179245234;3;15.2026863098;23.5;11;30.4871735573;
41;4;16.4189834595;27.600194931;5;33.7512071133;3;15.2346143723;24.5;11;30.6250567436;
42;4;16.4467964172;28.7889022827;5;34.0743641853;3;14.0;26.5;11;30.7586488724;
43;4;17.47590065;27.7889022827;6;34.3877575397;3;14.0;28.5;12;30.8877205849;
44;4;16.5062866211;29.7889022827;7;34.6918480396;3;14.0;30.5;12;31.0120859146;
45;4;17.0;29.7889022827;7;34.9871633053;3;14.0;32.5;12;31.1316008568;
46;4;18.0;30.4052772522;7;35.2742609978;3;14.0;34.5;12;31.2461638451;
47;4;19.0;29.9468345642;8;35.5537006855;3;15.0;33.121547699;13;31.3557114601;
48;4;20.0;29.1983299255;8;35.755228281;3;14.0;34.2201385498;13;31.4602174759;
49;4;20.9500007629;28.3797073364;8;35.9203586578;3;14.0;35.3141937256;13;31.5596909523;
50;4;20.9500007629;27.5283241272;9;36.0893273354;3;15.0;33.4037208557;13;31.65417099;
51;4;20.9500007629;30.5283241272;10;36.2616591454;3;14.0;34.4887542725;15;31.743724823;
52;4;20.9500007629;32.5283241272;10;36.4368326664;3;15.0;33.4887542725;14;31.8284444809;
53;4;20.9500007629;34.5283241272;13;36.6142861843;3;16.0;33.4887542725;11;31.9084434509;
54;4;20.9500007629;36.5283241272;13;36.7934236526;3;17.0;33.4887542725;11;31.9838528633;
55;4;21.8597717285;35.6749992371;13;36.9736218452;3;18.0;33.4887542725;11;32.0;
56;4;20.9500007629;36.6749992371;14;37.1542396545;3;19.0;33.4887542725;11;32.0;
57;5;20.9500007629;37.6749992371;11;66.0846266747;3;19.625;32.7999992371;12;32.0;
58;5;22.9500007629;36.6749992371;10;68.2766327858;3;19.625;31.7999992371;13;32.0;
59;5;24.0219306946;37.6749992371;10;69.9888935089;3;19.625;30.7999992371;15;32.0;
60;5;25.0619773865;38.6749992371;11;71.280008316;3;19.625;29.7999992371;15;32.0;
61;6;26.1015396118;39.6749992371;12;72.234254837;3;19.625;28.7999992371;15;32.0;
62;6;27.1404838562;40.6749992371;13;72.9363565445;3;19.625;28.7999992371;17;32.0;
63;6;28.1786880493;40.6749992371;13;73.126791954;4;19.625;28.7999992371;16;47.0;
64;6;29.2160282135;40.6749992371;11;73.2884612083;4;20.625;29.7999992371;15;47.75;
65;7;30.2524051666;40.6749992371;11;73.4454174042;4;21.625;30.7999992371;17;48.4193744659;
66;7;31.2877197266;40.6749992371;11;73.5972981453;4;21.625;31.7999992371;17;49.0072898865;
67;7;32.3218917847;40.6749992371;11;74.7437982559;5;21.625;32.7999992371;16;49.5162696838;
68;7;34.3548545837;41.6749992371;11;74.9246706963;5;21.625;33.7999992371;17;49.9513263702;
69;7;34.9500007629;43.6749992371;12;75.1009116173;5;21.625;33.7999992371;18;50.3190898895;
70;7;35.6182670593;45.6749992371;12;75.2723896503;5;21.625;33.7999992371;18;50.6270179749;
71;7;35.6277999878;47.6749992371;12;76.4390243292;5;21.625;33.7999992371;19;50.8827629089;
72;7;36.6375999451;50.6749992371;13;76.6407827139;5;21.625;33.7999992371;17;51.0;
73;8;37.6476631165;52.6749992371;12;76.8388578892;5;21.625;33.7999992371;18;51.0;
74;8;37.6579933167;54.6749992371;12;77.0332994461;5;21.625;33.7999992371;18;51.0;
75;8;37.6685829163;56.0694351196;15;80.3820291758;5;21.625;33.7999992371;18;51.0;
