Turn;Planet_count_KI_1_SP_GEORGE;Research_KI_1_SP_GEORGE;Industry_KI_1_SP_GEORGE;Ships_KI_1_SP_GEORGE;Population_KI_1_SP_GEORGE;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;14.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;8.0;10.0;6;20.0;
4;1;8.0;11.0;6;20.0;1;8.0;10.0;6;20.0;
5;1;8.0;10.0;6;20.0;1;8.0;10.0;6;20.0;
6;1;9.0;10.0;6;20.0;1;9.0;10.0;6;20.0;
7;1;9.5;10.0;5;20.0;2;9.5;10.1999998093;5;21.0;
8;1;9.5;10.0;5;20.3999996185;2;9.72500038147;10.0;5;21.5299996138;
9;1;9.59000015259;10.1999998093;5;20.7264003754;2;9.84424972534;10.1999998093;5;22.0018314123;
10;1;9.66343975067;10.3632001877;5;20.9903717041;2;9.95041179657;10.3632001877;5;22.4280958176;
11;2;9.72283363342;10.7951860428;4;23.0419120789;2;10.0463218689;10.4951858521;5;23.7177560329;
12;2;10.184431076;11.0209560394;4;23.944350481;2;10.3364953995;11.0209560394;5;24.8637619019;
13;2;11.954583168;11.4571752548;4;24.6819975376;2;10.5943470001;11.4571752548;5;25.8837099075;
14;2;13.9545841217;11.8107032776;4;25.2750298977;2;12.5943470001;11.8107032776;5;26.8016016483;
15;2;15.9545841217;12.0916318893;4;25.746127367;2;14.5943470001;12.0916318893;5;27.6436917782;
16;2;16.9756240845;12.3113050461;4;26.1175945997;2;15.2198295593;12.3113050461;4;28.4353666306;
17;2;17.9828968048;12.4808797836;4;26.1887089014;2;15.3979578018;12.4808797836;4;28.9781968594;
18;2;18.9902935028;12.5;5;26.2221269608;2;17.4351806641;12.5;4;29.5360116959;
