Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;6.0;12.0;4;20.0;1;6.0;12.6999998093;4;21.0;
2;2;7.0;11.1999998093;4;21.0;1;7.0;11.6999998093;5;21.0;
3;2;8.19999980927;10.0;3;21.0900000334;1;8.0;10.6999998093;5;21.0;
4;2;9.21800041199;10.0;3;21.1871190071;1;8.14999961853;10.5;5;21.0;
5;2;9.23742389679;10.0;3;21.2917383909;2;8.14999961853;10.6999998093;4;22.0;
6;2;10.3875217438;10.0;3;21.4042263031;2;9.375;10.5;4;22.0900000334;
7;2;11.4212675095;10.0;3;21.5249304771;2;9.9702501297;10.5;4;22.1871190071;
8;2;11.4574794769;10.0;3;22.0694183111;2;9.99210166931;10.5;4;22.7236096859;
9;2;11.6208257675;10.1999998093;3;22.5515855551;2;10.1128120422;10.7100000381;4;23.1884489059;
10;2;11.7654762268;10.3632001877;2;22.983014226;2;10.2174015045;10.8792181015;4;23.5668647289;
11;2;11.8949041367;10.4951858521;2;24.2738182545;2;10.3025445938;11.0;4;25.3486820459;
12;2;12.2821455002;11.0209560394;2;25.4089095592;2;10.703453064;11.7700004578;5;26.9087285995;
13;2;14.2821455002;11.4571752548;2;26.4029755592;2;12.4187746048;12.4126424789;5;28.2558913231;
14;2;16.2821464539;11.8107032776;2;27.276881218;2;14.4187746048;12.9308347702;5;29.4172105789;
15;2;17.5406589508;12.0916318893;2;28.0536293983;2;16.4187736511;13.3366470337;5;30.428994894;
16;2;18.6418800354;12.3113050461;2;28.755402565;2;17.6553955078;13.6469516754;5;31.3293325901;
17;2;19.750667572;12.4808797836;2;29.1808357239;2;18.7531986237;13.879781723;5;32.049197197;
18;2;20.8668251038;12.5;2;29.5913586617;2;19.8610706329;14.0;5;32.573600769;
19;2;21.9899806976;12.5;2;30.0233430862;2;20.9790611267;14.0;5;33.1419348717;
20;2;21.5;13.5;3;30.4742712975;2;21.4569339752;14.0;5;33.7516689301;
21;2;22.5;12.5;3;30.9409928322;2;21.5941238403;14.0;5;34.3986358643;
22;2;23.2822971344;12.5;3;31.4197778702;2;21.739692688;14.0;5;35.0769786835;
23;3;23.4259338379;12.5;2;31.906411171;2;21.8923187256;14.0;6;35.7792286873;
24;3;23.5719223022;12.5;3;32.3963236809;2;22.0503253937;14.0;6;36.4965333939;
25;4;21.5719223022;13.5;2;32.8847527504;2;22.2117195129;14.0;6;37.2190332413;
26;4;22.5719223022;12.5;2;33.3669252396;2;22.3742828369;14.0;6;37.9363632202;
27;4;21.5;13.5;2;33.8382406235;2;22.5356807709;14.0;7;38.6382322311;
28;4;21.5;14.5;2;34.2944498062;2;22.6936016083;14.0;7;39.3150119781;
29;4;21.5;15.5;2;34.7318048477;2;22.8458766937;14.0;7;39.9582691193;
30;4;21.5;16.5;2;36.1471776962;2;20.9906101227;15.0;7;40.5611724854;
31;4;22.5;18.0;2;36.5881307125;3;21.1262626648;16.5;6;42.1187410355;
32;4;24.5;15.5;2;37.00492239;3;21.2517166138;17.5;6;42.7879134417;
33;4;23.8305931091;15.5;2;37.3965677023;3;20.3662796021;18.5799999237;6;43.4312025309;
34;4;23.8467845917;15.5;2;37.7627345324;3;19.7720184326;19.0;6;44.0518856049;
35;4;22.5;15.10597229;3;38.1036658287;3;19.2619972229;20.7770614624;7;44.654701829;
36;4;21.8809928894;13.5;2;38.4200901985;3;19.3436203003;21.8970851898;7;45.2454574108;
37;4;21.8990135193;14.5;2;38.713116765;3;19.4151554108;23.0334949493;7;45.8306019306;
38;4;20.5;14.1960783005;2;38.9841390848;3;20.0118865967;23.0;7;46.4168126583;
39;4;20.9368915558;14.5;2;39.2347391844;3;19.5310897827;25.0;7;47.0105862617;
40;4;19.956741333;13.5;2;39.4666084051;3;19.5772151947;26.5559253693;7;47.544028759;
41;4;19.5;14.2953214645;2;40.6607804298;3;19.6000003815;27.7720146179;7;48.0209121704;
42;4;21.5;15.8303899765;2;40.8628453016;3;19.6000003815;29.0104560852;8;48.5427899361;
43;4;25.0198535919;19.8303909302;2;41.0822194815;3;20.6000003815;27.2713947296;8;49.1086950302;
44;4;27.424665451;23.8303909302;2;41.3202750683;3;19.6000003815;28.5543479919;10;49.7161855698;
45;4;28.9313163757;27.8303909302;3;41.5783990622;3;21.6000003815;28.5543479919;10;50.3611893654;
46;5;30.4735183716;30.8303909302;2;41.857961297;3;23.0312690735;29.5543479919;10;51.0379443169;
47;5;30.0117740631;32.5;5;42.1602733135;3;22.6000003815;30.5543479919;10;51.7390680313;
48;5;30.0360050201;33.5;4;42.486538887;4;25.6000003815;31.0;9;53.4557781219;
49;5;30.7459621429;32.5;4;42.8377935886;4;28.5025501251;32.0;9;54.3382588625;
50;5;30.1655635834;33.5;4;43.2148368359;4;29.6651077271;32.0;10;55.2399021387;
51;5;30.2532062531;33.6854057312;4;43.6181566715;4;30.1266365051;33.0;10;56.1532897949;
52;5;30.3483905792;33.728427887;4;44.0478506088;4;30.2848129272;34.0;10;57.0717731714;
53;5;31.2143535614;32.5;4;44.5035464764;4;30.4374599457;34.8970870972;11;57.9899413586;
54;5;30.5615158081;33.5;3;44.9843299389;4;30.5826644897;35.033493042;11;58.9039394855;
55;5;30.2161407471;33.5;4;45.488683939;4;29.1171875;35.0;11;59.8115928173;
56;5;29.2429065704;33.5;4;46.0144512653;4;29.5826644897;35.0;11;60.7123198509;
57;5;26.3999996185;36.5;5;46.5588223934;5;30.5826644897;35.5559234619;9;71.6068501472;
58;5;27.3967666626;35.5;5;47.1183607578;5;30.0641345978;37.7720146179;9;72.8967838287;
59;6;27.3117408752;37.5;4;47.689065218;6;31.0617752075;38.0;8;74.1584515572;
60;6;25.5;40.0845794678;5;48.266474247;7;32.2614097595;41.0;7;76.3922796249;
61;6;25.5;42.1294364929;5;48.8458034992;7;33.4608268738;44.0;8;77.7585908175;
62;6;27.5;39.5;5;49.4221150875;7;33.6602249146;47.0;8;79.1208344698;
63;7;26.5310974121;41.4925613403;4;49.9905011654;7;34.0799484253;49.0;9;80.4805998802;
64;7;27.5575237274;40.4925613403;4;52.1055779457;7;32.7749595642;52.0;9;81.773728013;
65;8;29.7999992371;39.9925613403;3;54.9491364956;7;33.8721466064;52.8970870972;10;82.9786298275;
66;8;30.0340003967;42.2318496704;3;57.6093912125;8;33.9367599487;55.0;9;86.2021105289;
67;8;33.5303573608;42.6798210144;4;59.1003401279;8;36.9944610596;57.0;11;89.8359717131;
68;8;36.8430023193;41.902305603;4;60.2649434805;9;36.3491973877;59.0;10;93.1774868965;
69;8;36.7692298889;43.0;4;61.1853544712;9;37.886390686;60.0;10;96.2774140835;
70;8;35.8319664001;44.0;4;62.0417876244;10;35.7046127319;62.0;13;98.9430457354;
71;8;32.8863372803;48.0;4;63.7244923115;10;37.116569519;62.0;14;101.466199756;
72;8;32.8863372803;48.6059188843;5;64.4129687548;10;35.6640586853;61.665145874;14;103.900242209;
73;9;33.8863372803;50.6288757324;3;65.0955088139;10;32.2065048218;64.7028579712;14;105.837753773;
74;9;31.8863372803;54.6649856567;3;65.7507711649;10;31.2065048218;67.7421722412;14;107.819522262;
75;9;31.8999996185;56.7026901245;3;66.3812531233;10;30.2065048218;70.7831115723;14;109.839060068;
76;9;31.8999996185;57.7420043945;4;66.9898871183;10;31.2065048218;72.7421722412;14;111.888349891;
77;9;30.8999996185;60.7026901245;4;67.5798354149;10;31.2000007629;74.7421722412;14;114.957181811;
78;9;30.8999996185;63.7026901245;5;69.1543098688;10;33.2000007629;78.7421722412;16;117.072790146;
79;9;33.9000015259;64.7026901245;5;69.6643867493;10;36.2000007629;81.7421722412;20;119.18107152;
80;9;34.5;68.0727233887;7;70.1092315912;10;38.4432678223;85.0117645264;17;121.264650345;
81;9;33.1683425903;72.1025848389;7;70.5676834583;10;37.4528007507;84.0621185303;18;123.258675933;
82;9;31.5;76.1313858032;7;71.0395257473;10;38.462600708;84.1139068604;18;125.064209819;
83;10;30.5;80.1591339111;7;71.5244144201;10;39.2226638794;84.1670608521;20;126.818624258;
84;10;30.5;84.1858444214;7;72.0042301416;10;39.2329940796;85.2215118408;20;128.500679255;
85;10;30.5;88.2026901245;10;72.464332819;10;40.2435836792;82.2771759033;21;130.092462063;
86;11;30.5;91.7212753296;8;72.937609911;10;41.1520957947;86.0104675293;22;131.580098748;
87;11;30.5;94.7769393921;8;73.4230923653;10;41.9080047607;89.0929336548;23;132.954161525;
88;11;31.5;94.8337097168;11;73.9196519852;10;42.2954139709;90.1768417358;23;134.209734917;
89;11;30.5;97.5542449951;11;75.4260078669;11;43.4209709167;93.2620697021;23;136.346152067;
90;11;32.5;97.6306533813;11;75.9707355499;11;45.5346107483;99.348449707;24;137.546444058;
91;11;33.5;97.7080688477;13;76.5228710175;12;47.7546424866;103.43585968;24;138.666868806;
92;11;32.5;100.786338806;14;77.0807409286;12;44.86668396;105.524124146;29;139.549798846;
93;11;33.5;100.865333557;14;77.6425801516;12;43.9549789429;109.613067627;23;140.398404479;
94;11;34.5;100.944892883;14;78.2065589428;12;45.0398406982;109.66204834;23;141.234602809;
95;11;34.5;103.024856567;14;78.770809412;12;45.5728225708;112.79233551;24;142.068868279;
96;11;34.5;102.105072021;15;79.3334566355;12;47.5853729248;114.936080933;31;142.911602855;
97;10;30.5;100.185371399;16;75.6605620384;13;48.6814117432;117.196640015;27;148.777119875;
98;10;31.5;100.265594482;17;76.0973609686;13;54.7685241699;117.856674194;26;149.711948276;
99;10;29.5;103.483802795;18;76.529042244;13;57.6389808655;123.916046143;26;150.881871939;
100;10;29.5;105.523071289;18;76.9542355537;13;58.6792793274;127.038101196;31;152.125679851;
101;10;29.5;106.65852356;21;77.3716816902;13;56.8234786987;134.161727905;31;153.43994236;
102;11;30.0;107.793319702;21;77.7802499533;13;56.9752883911;141.286346436;30;154.818496466;
103;11;31.0;108.927246094;21;78.1789475679;13;58.6349601746;143.411331177;32;156.252234817;
104;11;32.0;110.06010437;22;78.5669307709;15;59.7772521973;146.491043091;31;158.729132056;
105;11;34.0;108.191680908;22;78.9435056448;15;63.9238815308;147.099914551;32;160.264583349;
106;11;34.0;109.32182312;23;79.3081268072;15;67.0734024048;148.718414307;31;161.755874634;
107;11;34.4000015259;110.4503479;24;79.6603938341;16;66.9245300293;152.338150024;31;163.240396976;
108;12;36.4000015259;106.57711792;20;85.2020821571;16;65.2038345337;148.950286865;30;159.405414581;
109;12;35.4000015259;105.647010803;22;84.9610148668;16;63.3405418396;153.063430786;30;160.7963866;
110;12;35.4000015259;104.569664001;23;84.7555385828;16;63.4796409607;157.218917847;31;163.904816628;
111;12;36.4000015259;107.500061035;22;86.1707209349;16;64.6904830933;155.347488403;31;166.107946873;
112;12;38.4000015259;110.312492371;23;87.588152647;16;64.3017883301;160.403396606;31;168.309351325;
113;12;39.4000015259;112.57244873;23;88.995876193;16;66.6309356689;163.851211548;32;171.497930884;
114;12;41.4000015259;110.834892273;24;90.3824825287;16;68.8497924805;168.294769287;33;174.814525604;
115;12;40.9000015259;112.099273682;25;91.7375618219;16;71.0149536133;173.728439331;33;177.212392569;
116;12;40.9000015259;113.365020752;27;93.0520601273;16;72.4122390747;178.147003174;34;180.604709148;
117;12;41.9000015259;112.631591797;27;94.3185223341;16;74.7604751587;180.545898438;37;183.028847933;
118;13;40.9000015259;114.898460388;28;95.5312049389;16;74.9988861084;185.921386719;38;185.443891644;
119;13;40.9000015259;117.165100098;29;96.6860826015;16;75.3166046143;191.270706177;39;187.847933054;
120;13;41.9000015259;116.431037903;30;97.780752182;16;76.5848007202;192.592025757;40;190.130288601;
121;13;40.9000015259;118.695846558;31;98.814261198;16;75.8044509888;196.884552002;41;192.344908953;
122;13;40.9000015259;120.959060669;31;99.7869017124;16;77.0344924927;198.148269653;41;194.570138931;
123;13;41.9000015259;120.220306396;32;100.699975729;16;77.257019043;199.383956909;44;196.798886299;
124;13;40.9000015259;122.479194641;33;102.555563927;16;76.479888916;203.59286499;46;199.024401426;
125;13;41.9000015259;125.73538208;35;103.416311026;16;77.7024459839;204.776748657;46;201.240242839;
126;13;43.9000015259;125.988525391;36;104.15370512;16;77.9240264893;205.937545776;46;203.440203786;
127;13;43.2368927002;129.238311768;38;104.780510545;16;80.1240463257;210.372009277;49;205.610522747;
128;13;43.256690979;132.484466553;39;105.385049582;16;84.3610534668;210.793212891;50;207.611475945;
129;13;44.2774162292;132.726699829;41;105.968113303;16;88.5611572266;208.234848022;50;209.599144697;
130;13;42.9000015259;135.895950317;41;106.530609727;16;89.7599182129;211.693145752;52;211.564391494;
131;13;44.3217163086;134.198379517;43;107.048120499;16;93.9564437866;212.163543701;54;213.49808073;
132;13;44.3453063965;133.409545898;44;107.393202424;17;98.1498184204;209.640884399;53;215.391181469;
133;13;42.9000015259;136.578887939;45;107.718509912;17;99.3391189575;213.119567871;55;217.234954;
134;13;44.395401001;134.747024536;45;108.04478395;17;102.523506165;213.593841553;58;219.021187663;
135;13;44.4218978882;133.913589478;46;108.371452212;17;106.64037323;208.625793457;58;220.742475867;
136;13;43.4493522644;136.078201294;47;108.697947025;18;104.874259949;212.658126831;58;222.344174862;
137;13;43.9000015259;136.240493774;48;109.023711443;18;107.034423828;213.690856934;59;223.774558067;
138;13;43.9000015259;135.816589355;49;109.348199606;18;109.177467346;211.723907471;61;226.126554728;
139;13;43.537273407;136.556777954;50;109.670880795;18;110.263160706;213.757263184;61;227.484350085;
140;13;44.5683441162;135.710144043;51;109.991242886;18;112.433441162;215.790893555;61;228.804071426;
141;13;47.5683441162;134.859985352;51;110.308792114;18;112.680419922;221.72644043;63;230.085621238;
142;13;50.8544235229;135.006027222;52;110.623056412;18;113.808570862;227.785232544;63;232.330315113;
143;13;53.9434890747;134.648086548;52;110.933584929;18;115.933044434;234.844299316;64;233.630625486;
144;13;57.0343322754;133.785964966;53;111.239950895;18;118.054077148;240.903533936;65;234.907013178;
145;13;60.1267929077;132.919525146;54;111.541751385;18;119.290710449;246.962875366;66;236.163770795;
146;13;63.2206878662;132.048614502;55;111.838607311;18;120.416389465;253.407073975;66;237.405434847;
147;13;66.3158187866;131.173187256;55;112.130164862;18;121.540550232;259.475769043;67;238.612272024;
148;13;68.9119720459;130.293151855;57;112.416095257;18;122.661247253;264.544372559;68;239.690205693;
149;13;71.008934021;129.408447266;57;112.69609499;18;123.76902771;269.612701416;69;240.785907865;
150;13;73.1064758301;129.519104004;59;112.969885588;18;121.878601074;276.680755615;70;241.899314165;
151;13;75.2043685913;129.625091553;61;113.237214565;18;121.989944458;280.748413086;72;243.029452324;
152;13;79.3023681641;125.625091553;62;113.477783203;18;122.10294342;281.815612793;73;244.10712266;
153;13;80.4002380371;123.625091553;64;113.672539949;18;120.210723877;285.882263184;75;245.178827524;
154;13;83.4977340698;123.625091553;66;113.863237858;18;121.317893982;283.948303223;76;246.259644985;
155;13;81.5946273804;121.625091553;66;114.049637794;18;119.425979614;285.01361084;76;247.263727903;
