Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;5;20.0;1;8.0;12.0;6;20.0;
4;1;9.0;10.0;5;20.0;1;8.0;11.0;5;20.0;
5;1;9.0;10.0;4;20.0;1;8.0;10.0;4;20.0;
6;1;10.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
7;1;11.0;10.0;4;20.0;1;9.5;10.0;4;20.0;
8;1;11.0;10.0;4;20.3999996185;1;9.5;10.0;4;20.3999996185;
9;1;11.1199998856;10.1999998093;4;20.7264003754;1;9.59000015259;10.1999998093;4;20.7264003754;
10;1;11.2179203033;10.3632001877;3;20.9903717041;1;9.66343975067;10.3632001877;4;20.9903717041;
11;1;11.2971115112;10.4951858521;3;22.0419120789;1;9.72283363342;10.4951858521;4;22.0419120789;
12;1;11.6125736237;11.0209560394;4;22.9143505096;2;9.95943069458;11.5209560394;3;23.9143505096;
13;1;13.2971115112;11.4571752548;4;23.6214065552;2;11.7228336334;11.9571752548;3;24.6214065552;
14;1;14.2971115112;11.8107032776;4;24.1832637787;2;13.7228336334;12.3107032776;3;25.1832637787;
15;1;15.2971115112;12.0916318893;4;24.6226100922;2;15.7228336334;12.5916318893;3;25.6226100922;
16;1;16.2971115112;12.3113050461;4;24.9617595673;2;16.7228336334;12.8113050461;3;25.9617595673;
17;1;17.2971115112;12.4808797836;4;25.0;2;17.7228336334;12.9808797836;3;26.0;
18;1;18.2971115112;12.5;4;25.0;2;18.7228336334;13.0;4;26.0;
19;1;19.2971115112;12.5;5;25.0;2;19.625;13.0;5;26.0;
20;1;19.5;12.5;5;25.0;2;19.625;13.0;6;26.0;
21;1;19.5;12.5;5;25.0;2;19.625;13.1000003815;6;26.0;
