Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;11.8999996185;8.625;4;17.25;1;6.0;12.6999998093;4;21.0;
2;1;11.8999996185;8.625;5;17.25;1;7.0;11.6999998093;5;21.0;
3;1;11.8999996185;8.625;5;17.25;1;8.0;10.6999998093;5;21.0;
4;1;11.8999996185;8.625;5;17.25;1;8.14999961853;10.5;5;21.0;
5;1;12.8999996185;8.625;5;17.25;1;8.14999961853;10.5;5;21.0;
6;1;13.8999996185;8.625;5;17.25;1;9.14999961853;10.5;5;21.0;
7;1;14.8999996185;8.625;5;17.5949993134;1;9.72500038147;10.5;4;21.0;
8;1;15.5569992065;8.79749965668;5;17.8861961365;1;9.72500038147;10.5;4;21.4200000763;
9;1;15.7317180634;8.94309806824;5;18.6667137146;1;9.81949996948;10.7100000381;4;21.758436203;
10;2;16.8000278473;9.3333568573;4;20.3355960846;1;9.8956489563;10.8792181015;4;22.0;
11;2;18.8000278473;9.6677980423;4;20.9391126633;1;9.94999980927;11.0;4;23.5400009155;
12;2;20.8000278473;9.94955635071;4;21.4481024742;1;10.296500206;11.7700004578;5;24.8252849579;
13;2;21.8487377167;10.1834592819;4;21.8739979267;2;11.9499998093;12.6126422882;4;26.8616695404;
14;2;22.8741588593;10.3752222061;4;22.2287167311;2;13.9499998093;12.9308347702;4;27.833294034;
15;2;23.9002914429;10.5308046341;5;22.461841464;2;15.9499998093;13.3366470337;4;28.6376472712;
16;2;24.9271316528;10.625;5;22.5077478886;2;17.2523422241;13.6469516754;4;29.3136873245;
17;2;25.9546756744;10.625;5;22.5548160076;2;18.2996768951;13.879781723;4;29.7941719294;
18;2;26.9829177856;10.625;5;22.6030313969;2;19.3536891937;14.0;4;30.0669906139;
19;2;27.5618190765;10.625;5;22.6523760557;2;20.4150733948;14.0;4;30.375654459;
20;2;27.591424942;10.625;5;22.7028282881;2;20.8345222473;14.0;4;30.7230784893;
21;2;27.6216964722;10.625;5;22.7543625832;2;20.9126911163;14.0;4;31.1118502617;
22;2;27.6526184082;10.625;5;22.8069496155;2;21.0001659393;14.0;4;31.544028759;
23;2;27.6841697693;10.625;5;22.8605561256;2;21.0974063873;14.0;5;32.0209121704;
24;2;27.7163333893;10.625;5;22.9151450396;2;21.2047042847;14.0;5;32.5427899361;
25;2;27.74908638;10.625;5;22.97067523;2;21.3221263885;14.0;5;33.1086950302;
26;2;27.7824058533;10.625;7;23.0271017551;2;21.4494552612;14.0;5;33.7161855698;
27;2;27.8162612915;10.625;7;23.0843759775;2;21.5861415863;14.0;5;34.3611893654;
28;2;27.8506259918;10.625;7;23.1424454451;2;21.7312660217;14.0;5;35.0379443169;
29;2;27.8854675293;10.625;7;23.2012542486;2;21.8835372925;14.0;5;35.7390680313;
30;2;27.920753479;10.625;7;23.2607431412;2;20.0412902832;15.0;5;36.4557781219;
31;2;27.956445694;10.625;7;23.3208494186;2;19.2025489807;16.0;5;37.1782588959;
32;2;27.9925098419;10.625;7;23.3815076351;2;18.36510849;17.0;5;37.8961582184;
33;3;28.0289039612;10.625;7;23.4426498413;2;17.5266342163;18.0;5;38.5991659164;
34;3;28.0655899048;12.625;8;23.5042052269;2;16.6848106384;19.0;5;39.2776012421;
35;3;28.1025238037;14.625;8;23.5661010742;2;16.5374603271;20.0;5;39.9229507446;
36;3;28.1396598816;16.625;9;23.6282629967;2;16.6826629639;21.0;6;40.5282850266;
37;3;28.1769580841;18.625;9;23.6906147003;3;17.818862915;22.5;5;42.088514328;
38;3;28.2143688202;20.625;10;23.7530794144;3;18.9449157715;23.0;6;42.7604695559;
39;3;28.2518482208;20.625;10;23.8155794144;3;19.0601062775;24.0;6;43.4065653086;
40;3;28.2893486023;20.625;10;23.878036499;3;19.1641349792;25.0;7;44.0299959183;
41;3;28.3268222809;20.625;10;23.940372467;3;19.2570705414;26.0;7;44.6354337931;
42;3;28.3642234802;20.625;10;24.0025100708;3;19.3392829895;27.0;8;45.2286365032;
43;3;28.401506424;20.625;11;25.0643725395;3;20.4113693237;25.0;9;45.8160250187;
44;3;29.4386234283;21.625;11;25.1258842945;3;19.4740829468;26.0;10;46.4042613506;
45;3;30.4755306244;22.625;12;25.186971426;3;19.5282669067;27.0;11;46.9998393059;
46;3;30.5121822357;23.625;12;25.2475619316;3;20.574798584;25.0;11;47.544028759;
47;3;30.548538208;24.625;13;25.3075861931;3;21.6000003815;26.0;13;48.0209121704;
48;3;30.5845527649;25.625;13;25.3669772148;3;22.6000003815;27.0;13;48.5427899361;
49;3;30.6201858521;25.625;14;25.4256706238;3;23.6000003815;28.0;14;49.1086950302;
50;3;30.6554031372;25.625;14;25.4836053848;4;25.6000003815;30.0;14;50.7161855698;
51;3;30.6901626587;25.625;15;25.5407235622;4;27.6000003815;32.0;14;51.521189332;
52;4;30.7244338989;25.625;14;25.596971035;4;27.8999996185;32.0;16;52.3816882372;
53;5;30.7581825256;25.625;10;37.1522974968;4;27.8999996185;33.0;16;53.2931919098;
54;5;31.7913780212;26.625;11;37.6666560173;4;27.8999996185;34.0;16;54.2499500513;
55;5;32.8239936829;27.625;11;38.1433877945;4;27.8999996185;34.0;18;55.2452495098;
56;5;32.8560028076;28.625;11;39.6732802391;5;27.8999996185;34.0;17;56.2718126774;
57;5;33.4234237671;30.0234375;11;41.0105935335;5;27.8999996185;34.0;18;57.3222444057;
58;5;33.9038772583;31.3489723206;12;42.1703656912;5;27.8999996185;34.0;17;58.3894515038;
59;5;34.3074569702;31.6102333069;12;44.1713202;5;27.8999996185;34.0;17;59.4669795036;
60;5;35.6454391479;32.8168411255;12;45.1008443832;6;27.8999996185;34.0;16;60.549197197;
61;5;36.9289512634;33.9782943726;14;45.7080590725;6;27.8999996185;34.0;18;61.6313042641;
62;6;32.9289512634;36.9782943726;13;46.2319442034;6;27.8999996185;34.0;19;62.7091646194;
63;6;33.3739547729;38.0;13;46.7192614079;7;27.8999996185;34.0;18;63.779006958;
64;6;31.3739547729;40.349937439;15;47.1735869646;7;27.8999996185;34.0;18;64.8370614052;
65;6;32.3739547729;39.4216156006;15;47.5747256279;7;27.8999996185;34.0;19;65.8792061806;
66;6;33.3739547729;39.4920043945;16;47.8173019886;7;27.8999996185;34.0;19;66.9007139206;
67;6;35.3739547729;38.4920043945;17;48.0609819889;7;27.8999996185;34.0;19;67.8961486816;
68;7;36.4000015259;39.0;16;49.3054964542;7;27.8999996185;34.0;19;68.8594417572;
69;7;38.4000015259;41.0;16;49.5255867243;7;27.8999996185;34.0;19;69.7841472626;
70;7;39.7089004517;43.0;17;49.7485036254;7;27.8999996185;34.0;19;72.4995136261;
