Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;2;6.0;13.6999998093;3;18.0;1;6.0;12.0;4;20.0;
2;2;7.15000009537;12.3000001907;3;18.0674999952;1;7.0;11.0;5;20.0;
3;2;7.71012496948;11.3000001907;3;18.1388356686;1;8.0;10.0;5;20.0;
4;2;7.72082567215;10.3000001907;3;18.2141259909;1;8.0;10.0;5;20.0;
5;2;7.7321190834;9.30000019073;3;18.293479681;1;8.0;10.0;5;20.0;
6;2;8.84103298187;8.5;3;18.3769934177;1;9.0;10.0;5;20.0;
7;2;9.13482284546;8.5;3;18.4647493362;1;9.5;10.0;5;20.0;
8;2;9.15456867218;8.5;3;18.9114601612;1;9.5;10.0;5;20.3999996185;
9;2;9.25507926941;8.67000007629;3;19.3121117353;1;9.59000015259;10.1999998093;5;20.7264003754;
10;2;9.34522533417;8.81392192841;3;19.6729998589;1;9.66343975067;10.3632001877;5;20.9903717041;
11;2;9.42642593384;8.93486309052;3;20.7691317797;1;9.72283363342;10.4951858521;5;22.0419120789;
12;2;9.67305469513;9.39324569702;3;21.7543540001;1;9.95943069458;11.0209560394;6;22.9143505096;
13;2;9.89472961426;9.78903102875;3;22.6326544285;1;11.7228336334;11.4571752548;6;23.6214065552;
14;2;11.763504982;10.1240053177;3;23.4132072926;1;12.7228336334;11.8107032776;6;24.1832637787;
15;2;13.763504982;10.4026165009;3;24.1082558632;1;13.7228336334;12.0916318893;6;24.6226100922;
16;2;15.763504982;10.6309299469;3;24.7312479019;1;14.7228336334;12.3113050461;6;24.9617595673;
17;2;16.9244213104;10.8157100677;3;25.2954318523;1;15.7228336334;12.4808797836;6;25.0;
18;2;17.984752655;10.9637317657;3;25.6502726078;1;16.7228336334;12.5;6;25.0;
19;2;19.0482711792;11.0;5;25.9459347725;1;17.625;12.5;7;25.0;
20;3;19.8378353119;11.0;4;26.2538781166;1;17.625;12.5;7;25.0;
21;3;18.9500007629;12.0;4;26.5727539062;1;17.625;12.5;7;25.0;
22;3;18.9500007629;13.0;5;26.9009518623;1;17.625;12.5;8;25.0;
23;3;18.9500007629;13.4504756927;5;27.2366204262;1;17.625;12.5;8;25.0;
24;3;18.9500007629;13.6183099747;5;27.5777015686;1;17.625;12.5;8;25.0;
25;3;18.9500007629;13.7888507843;4;27.9219741821;1;17.625;12.5;9;25.0;
26;4;18.9500007629;13.9609870911;3;41.0171084404;1;17.625;12.5;9;25.0;
27;4;19.9500007629;14.1335544586;3;41.9982271194;1;17.625;12.5;9;25.0;
28;4;20.9500007629;14.3053636551;4;42.9220004082;1;17.625;12.5;9;25.0;
29;4;21.9500007629;14.4752349854;4;43.7835006714;1;17.625;12.5;9;25.0;
30;4;20.9500007629;16.4752349854;4;44.5801148415;1;17.625;12.5;9;25.0;
31;4;20.9500007629;18.4752349854;4;45.3112649918;2;17.625;12.5;8;34.6716661453;
32;4;20.9500007629;20.4752349854;5;45.9780359268;2;18.625;12.5;8;35.0902881622;
33;5;21.0;22.40483284;4;46.582783699;2;17.625;13.5;8;35.4847888947;
34;5;22.0;23.6656608582;4;47.1287565231;2;17.625;14.5;8;35.853351593;
35;5;23.0;24.9134616852;4;47.6197681427;2;17.625;15.5;9;36.1948680878;
36;5;23.4551544189;26.1474838257;3;48.0469341278;2;17.625;16.5;9;36.508898735;
37;5;23.5375003815;27.3672409058;3;48.2749938965;2;18.0;17.5;9;36.7955970764;
38;5;23.5375003815;28.5724945068;3;48.4869251251;2;19.0;18.5;9;37.0556192398;
39;5;23.5375003815;29.7632331848;4;49.6829366684;2;19.4250278473;19.5;10;37.2900266647;
40;6;25.5375003815;29.6632328033;4;49.9709242582;2;19.5305118561;20.5;10;37.5001831055;
41;6;26.5375003815;28.7599830627;4;50.2543039322;2;19.625082016;21.5;10;37.6876630783;
42;6;26.5375003815;27.8660621643;4;50.534479022;2;19.7094478607;22.5;11;37.8541679382;
43;6;26.5375003815;26.982131958;4;50.8129336834;2;19.7843761444;23.5;11;38.0;
44;6;27.8739032745;25.7632331848;4;51.0911880732;2;19.8500003815;24.5;12;38.0;
45;6;28.9083995819;27.7632331848;4;51.3149644136;2;20.8500003815;22.5;12;38.0;
46;6;29.9458675385;29.7632331848;5;51.4952818155;2;19.8500003815;23.5;13;38.0;
47;6;30.9364395142;32.7632331848;5;52.6899158955;2;19.8500003815;24.5;13;38.0;
48;6;31.9802322388;36.7632331848;5;52.9742736816;2;20.8500003815;22.5;13;38.0;
49;6;33.0273361206;40.7632331848;6;53.278441906;2;21.8500003815;22.5;15;38.0;
50;6;33.5974845886;42.7632331848;7;53.6027070284;2;22.8500003815;22.5;15;38.0;
51;7;33.6895294189;44.6749992371;6;53.9471480846;2;23.8500003815;22.5;13;38.0;
52;7;33.7872810364;45.6749992371;6;54.3116066456;2;24.8500003815;22.5;13;38.0;
53;7;33.8907356262;45.6749992371;6;54.6956605911;2;25.4750003815;22.5;13;38.0;
54;7;33.9998321533;45.6749992371;6;55.098602891;3;26.4750003815;23.5;13;39.0;
55;7;34.1144332886;45.6749992371;6;55.5194283724;3;27.4750003815;24.5;13;39.0900000334;
56;7;34.2343444824;45.6749992371;6;55.9568287134;3;27.4750003815;25.5;13;39.1871190071;
57;7;34.3592720032;45.6749992371;6;57.4091994762;3;27.7421016693;26.5;14;39.2917383909;
58;7;35.4888687134;46.6749992371;6;57.9496581554;3;27.4750003815;27.5;14;39.4042263031;
59;7;36.6226997375;47.6749992371;6;58.5058927536;3;27.4750003815;28.2021141052;14;39.5249304771;
60;7;37.020111084;48.6749992371;6;59.0757530928;4;27.4750003815;28.2624664307;14;39.6541694403;
61;7;37.179977417;49.6749992371;15;59.6569206715;5;27.4750003815;27.5;13;39.7922235727;
62;7;37.3435974121;50.6749992371;18;60.2469677925;5;27.4750003815;27.5;13;39.9393253326;
63;7;37.5103988647;50.6749992371;18;62.2256522179;5;27.4750003815;28.4696617126;9;40.0956480503;
64;7;35.8756561279;51.8926887512;20;64.0068398714;5;27.946521759;27.5;8;40.261295557;
65;8;37.8484649658;50.4878120422;19;65.6128821373;5;27.4750003815;28.5;8;40.4362905025;
66;8;38.1447105408;52.2893218994;18;67.0663366318;5;27.4750003815;28.7181453705;8;40.6205644608;
67;9;39.8573722839;54.5685195923;17;69.0611379147;5;25.4750003815;29.8102817535;8;40.8139474392;
68;9;40.5123825073;52.8617515564;18;70.0379217863;5;24.4750003815;30.9069747925;9;41.016159296;
69;9;40.7159843445;53.8617515564;19;70.9705505371;5;23.4750003815;32.0080795288;9;42.2268030643;
70;9;35.3159599304;58.8617515564;19;73.8190073967;5;23.4750003815;32.5;9;42.5753608942;
71;9;34.3680419922;63.8617515564;19;76.3922809362;5;23.8500003815;34.5;10;42.9466229677;
72;9;34.0726318359;67.3244094849;20;78.7116851807;6;23.8500003815;36.5;9;65.0912587643;
73;9;33.7665405273;66.3244094849;20;79.0684602261;6;24.8500003815;39.5;9;69.1970124245;
74;9;34.8067855835;67.8617553711;21;81.2622380257;6;26.966999054;43.5;9;71.879426837;
75;9;35.8623275757;70.5160522461;22;83.2482533455;6;29.0708255768;46.5;11;74.1669487953;
76;9;36.9203567505;73.7549133301;23;84.9813132286;6;30.1624526978;49.5;12;76.1223255396;
77;9;37.980682373;76.8926849365;23;84.9442958832;6;31.2429122925;54.5;13;77.6340347528;
78;9;39.0254745483;79.6926879883;24;84.9961533546;6;32.2999992371;57.8893661499;12;78.7420845032;
79;9;38.0707015991;80.6926879883;23;85.128254652;6;33.2999992371;60.45262146;14;79.6328068972;
80;9;39.1161880493;79.6926879883;23;85.3323385715;7;34.2999992371;61.8164024353;13;80.3962936401;
81;9;37.9251098633;81.6926879883;24;85.6004323959;7;35.2999992371;63.1981468201;14;81.1936533451;
82;8;35.049571991;78.6926879883;26;81.3492946625;8;37.2999992371;61.596824646;12;86.2275149822;
83;8;34.1710166931;79.6432723999;27;81.336815834;8;37.4000015259;63.4176979065;13;89.1390496492;
84;8;34.2890853882;81.5389480591;28;81.352148056;8;38.4000015259;66.9777755737;13;91.7782012224;
85;9;34.4034805298;83.4450531006;27;81.3905968666;8;38.4000015259;70.5645980835;13;94.1904251575;
86;9;34.5139312744;85.3605499268;27;81.4479718208;8;38.4000015259;74.1733551025;15;96.4229000807;
87;9;34.6202201843;87.2844924927;28;81.5205454826;8;38.4000015259;77.7978897095;17;98.3433609009;
