Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
1;1;11.0;10.0;4;20.0;1;11.3999996185;16.0;4;32.0;
2;1;11.0;10.0;5;20.0;2;11.5999994278;16.0;5;33.0;
3;1;11.0;10.0;5;20.0;2;11.5999994278;16.0;5;32.9095994234;
4;1;11.0;10.0;5;20.0;2;11.5819196701;15.8719997406;5;32.8702924252;
5;1;12.0;10.0;5;20.0;2;12.7558078766;15.7567996979;5;32.6623334885;
6;1;13.0;10.0;5;20.0;2;13.8170681;15.5507202148;5;32.3449114561;
7;1;14.0;10.0;5;20.3999996185;2;14.7034740448;15.2833280563;5;32.2021632195;
8;1;14.1800003052;10.1999998093;5;20.7264003754;2;14.6606492996;15.0829153061;5;32.1158497334;
9;1;14.3268795013;10.3632001877;5;21.8194274902;2;14.6347551346;14.9025440216;5;32.4711241722;
10;2;15.2687425613;10.9097137451;4;23.7316036224;2;16.8503856659;14.9011697769;5;32.8725893497;
11;2;17.268743515;11.3658018112;4;24.5045616627;2;18.8503837585;14.8999328613;5;33.3230295181;
12;2;19.268743515;11.7372808456;3;25.1279890537;2;20.8503837585;14.8988199234;5;33.8244185448;
13;2;20.2960090637;12.0336990356;4;25.6242921352;2;22.2583847046;14.8978176117;5;34.3776073456;
14;2;20.8187427521;12.2662630081;4;26.0160515308;2;23.4248828888;14.8969154358;6;34.9819917679;
15;2;21.8187427521;12.446267128;4;26.1558350325;2;24.4945983887;14.8961038589;6;35.6352062225;
16;2;22.8187427521;12.5;4;26.1887089014;2;24.6905632019;14.8953733444;6;36.3328905106;
17;2;23.8187427521;12.5;4;26.2221269608;2;24.8998661041;14.8947162628;6;37.0685682297;
18;2;24.8187427521;12.5;4;26.2560760975;2;25.1205692291;14.8941249847;7;37.8336963654;
19;2;25.25;12.5;4;26.2905418873;4;25.3501091003;14.8935928345;5;38.6179132462;
20;2;25.25;12.5;4;26.3255085945;4;25.5853729248;14.8931131363;5;39.4095001221;
21;2;25.25;12.5;5;26.3609591722;4;25.8228492737;14.8926820755;5;40.1960115433;
22;2;25.25;12.5;5;26.3968753815;4;26.0588035583;14.8922939301;5;40.9650354385;
23;2;25.25;12.5;5;26.4332377911;4;24.05859375;15.8919448853;5;41.7049703598;
24;2;25.25;12.5;6;26.4700255394;4;25.0584068298;14.8916301727;5;42.4057302475;
25;2;25.25;12.5;6;26.5072168112;4;26.0582351685;14.8913469315;5;43.0592765808;
26;2;25.25;12.5;6;26.5447884798;4;26.9177818298;14.8910923004;5;43.6599245071;
27;2;25.25;12.5;6;26.5827163458;4;27.0979766846;14.8908634186;5;44.2044095993;
28;2;25.25;12.5;6;26.6209751368;4;27.2613239288;14.8906574249;5;44.6917381287;
29;3;25.25;12.5;5;26.6595385075;4;27.4075222015;14.8904714584;5;46.1228761673;
30;3;25.25;12.5;5;26.6983793974;4;26.4074211121;16.5903053284;5;46.5308873653;
31;3;25.25;12.5;5;26.7374696732;4;26.4073314667;17.611541748;5;46.8894655704;
32;3;25.25;12.5;5;26.7767804861;4;25.4072494507;18.6332263947;5;47.2029269934;
33;3;25.25;12.5;5;26.8162822723;4;26.4071750641;16.6553535461;5;47.4759347439;
34;3;25.25;12.5;5;26.8559447527;4;24.9338722229;17.6779136658;5;47.7132040262;
35;3;25.25;12.5;6;26.8957372904;4;25.9338130951;15.7009048462;5;47.7761267424;
36;3;25.25;12.5;6;26.9356285334;4;27.2914943695;18.7009048462;5;47.8101052046;
37;3;25.25;14.5;6;26.9755871296;4;28.3016872406;21.7009048462;5;47.8446594477;
38;3;25.25;16.5;6;27.015581131;4;29.3120555878;24.7009048462;6;47.8797709942;
39;3;25.25;18.5;5;27.0555787086;4;30.3225879669;27.7009048462;6;47.9154236317;
40;3;25.25;20.5;6;27.0955479145;4;30.3746261597;29.8893241882;6;47.951597929;
41;3;25.25;22.5;6;28.135456562;4;30.3854789734;29.8892726898;8;47.988273263;
42;3;28.25;23.5;6;28.3052731752;5;30.3964805603;29.8892250061;7;48.0254292488;
43;3;30.25;24.5;6;28.4903970957;5;30.4076290131;29.8891830444;7;47.9890635014;
44;3;32.0790290833;25.5;6;28.6922280788;5;30.3967189789;29.8891448975;8;47.9602743387;
45;3;33.1845207214;26.5;6;28.9121911526;5;29.933719635;30.8891105652;9;47.9383145571;
46;3;33.3019180298;27.5;6;29.1517044306;6;29.9161815643;30.9748077393;8;47.9225161076;
47;3;33.4321632385;27.5;6;29.4121379852;7;30.9003982544;32.0005455017;7;48.9122672081;
48;3;33.5761642456;27.5;8;29.6947643757;7;31.8861942291;31.8890266418;7;48.9211133718;
49;3;33.7347717285;27.5;8;30.0006976128;7;32.1776428223;33.8890037537;8;48.9345163107;
50;3;33.9087219238;27.5;8;30.3308255672;7;30.1818733215;36.0789260864;8;48.952018261;
51;3;34.0986175537;27.5;9;30.6857345104;7;29.1861248016;38.1053771973;9;48.9732027054;
52;3;34.3048477173;27.5;10;31.0656282902;7;30.1903896332;36.1319580078;10;48.9976928234;
53;4;34.5275650024;27.5;9;31.4702496529;8;27.8733692169;37.6941490173;10;49.0251470804;
54;5;35.766620636;28.5;8;32.8988063335;8;29.1989631653;34.8889198303;10;49.0552523136;
55;5;37.0215110779;29.5;8;33.5099102259;8;26.9333457947;37.4387664795;11;49.0276112556;
56;5;37.2913475037;30.5;9;35.6090706587;8;28.2674369812;36.2378005981;11;49.0077972412;
57;5;38.4785728455;32.125;10;38.4575644732;8;29.2716217041;36.2633171082;12;50.3971892595;
58;5;39.948097229;34.0109367371;11;41.0249835253;8;30.5831336975;36.8165435791;12;51.4671486616;
59;5;41.454082489;34.7084197998;11;43.34446311;8;28.4598312378;38.816734314;12;52.2857084274;
60;5;43.7353591919;35.2354469299;11;45.4677877426;8;27.6167907715;40.1352882385;11;52.5483869314;
61;6;45.7990264893;35.620765686;8;57.4485831261;8;27.6576004028;41.2607841492;12;52.6375424862;
62;6;45.7355651855;37.8954544067;9;60.6568369865;9;27.6576004028;42.177570343;12;60.7273085117;
63;7;48.4579391479;40.3922195435;8;62.7132658958;9;29.6576004028;41.2323303223;13;61.0575884581;
64;7;48.040977478;43.4412155151;9;64.7802174091;10;29.6576004028;43.287399292;12;61.375707984;
65;7;49.610118866;44.4901733398;9;66.8407559395;11;28.6918411255;44.742225647;8;66.6811630726;
66;7;48.1556129456;47.5389709473;9;68.8788912296;11;29.6918411255;48.3982276917;9;67.1236436367;
67;7;49.6690826416;48.5874900818;10;70.8798478842;11;30.6918411255;50.5655441284;11;67.5497964621;
68;8;51.1440429688;49.6356124878;9;72.8300825357;11;31.6918411255;52.5016403198;10;67.9592875242;
69;8;49.5761642456;51.6832237244;9;75.7171235085;11;30.6918411255;56.4841423035;11;68.3519593477;
70;8;51.9632759094;52.73021698;5;77.5693705082;11;30.6918411255;59.9100036621;13;68.727812767;
71;9;54.3051872253;54.7764892578;5;79.337189436;11;30.6918411255;63.8950271606;15;69.0322751999;
72;9;52.6033439636;57.8219451904;5;81.0106604099;11;30.6918411255;67.8812484741;15;69.3252774477;
73;9;54.8604049683;57.0;5;82.5810937881;11;30.6918411255;70.2809448242;17;69.606672883;
74;9;57.0798416138;59.0;6;84.9458464384;11;30.6918411255;72.3160858154;18;69.8329113722;
75;9;54.2655563354;63.0;6;86.1840620041;11;30.6918411255;74.3551101685;18;69.9950953722;
76;9;58.4215660095;60.0;7;87.2429053783;11;30.6918411255;76.3988342285;19;70.1547447443;
77;10;59.5000038147;62.0;6;89.1140582561;11;31.6918411255;75.4410400391;19;70.3114519119;
78;10;56.5000038147;67.0;8;89.9345635176;11;30.6918411255;75.4513702393;19;70.464880228;
79;11;59.5000038147;67.0;5;105.684062958;11;30.6918411255;76.8716812134;20;70.406572938;
80;11;61.5000038147;68.4407577515;5;107.414550424;11;31.6476020813;76.7997436523;20;70.3649039268;
81;11;61.5000038147;72.4491271973;6;108.984922528;11;28.6476020813;80.8097076416;20;70.3376692533;
82;12;62.5000038147;73.4575576782;5;110.389829993;11;27.6476020813;81.4761428833;21;70.32292068;
83;12;60.5000038147;74.4660491943;6;111.631516218;11;27.6476020813;81.5199584961;21;70.2874575853;
84;12;60.5000038147;77.6525726318;5;112.718386889;11;25.6476020813;82.5253143311;22;70.2245988846;
85;12;61.5000038147;79.6644134521;5;113.592094064;11;24.6476020813;84.5675506592;23;70.1737987995;
86;12;60.5000038147;79.6763153076;8;114.24225688;11;24.6476020813;84.6089782715;23;70.1336965561;
87;13;60.5000038147;80.688293457;7;114.810896397;11;22.6476020813;87.6495666504;23;70.1030670404;
88;13;61.5000038147;82.7003250122;7;116.272998929;11;22.0;87.6893081665;24;70.0808110237;
89;13;61.5000038147;83.7124176025;10;117.31838274;11;23.0;86.7281951904;25;70.0659419298;
90;13;62.5000038147;85.7530517578;12;119.522983074;11;22.0;88.766204834;25;70.0575739145;
91;13;63.5000038147;88.7954559326;13;121.567220807;11;23.0;89.8573684692;25;70.0386587381;
92;13;62.5000038147;89.8396377563;14;123.468958735;11;24.0;89.8909759521;26;70.0014499426;
93;13;62.5000038147;91.885597229;15;125.249309182;11;25.0;91.9038848877;25;69.9698059559;
94;13;63.5000038147;93.9333267212;15;126.929789782;11;26.0;93.9166870117;28;69.9431480169;
95;13;61.5000038147;96.9828186035;19;128.387133121;11;28.0;89.7793807983;29;69.9044511318;
96;13;64.5;92.0340576172;20;129.677290797;11;28.0;90.7813873291;29;69.8667981625;
97;13;63.5000038147;95.0869979858;20;130.855356693;11;29.0;91.7813873291;31;69.8329102993;
98;13;61.5000038147;99.1416015625;22;131.557761192;11;31.0;89.7813873291;31;69.8024117947;
