Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;9.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;7.0;11.0;4;20.0;
3;1;9.0;10.0;5;20.0;1;8.0;10.0;4;20.0;
4;1;9.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
5;1;10.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
6;1;11.0;10.0;4;20.0;1;10.0;10.0;4;20.0;
7;1;11.0;10.0;4;20.3999996185;1;11.0;10.0;4;20.0;
8;2;12.1199998856;10.1999998093;3;21.7264003754;2;11.0;10.1999998093;3;21.3999996185;
9;2;13.2179203033;10.3632001877;3;21.9903717041;2;11.1199998856;10.1999998093;3;21.8564003706;
10;2;14.2971115112;10.4951858521;3;23.0819120407;2;11.2179203033;10.3632001877;3;23.0948585272;
11;2;14.9245738983;11.0209560394;3;23.99553442;2;11.5458278656;10.9097137451;3;25.080368638;
12;2;16.9245738983;11.4571752548;3;24.7449600697;2;12.0813140869;11.8021907806;3;26.8191465139;
13;2;18.9245738983;11.8107032776;4;25.3503712416;2;14.0813140869;12.5570135117;3;28.3070065975;
14;2;19.9627056122;12.0916318893;4;25.8344515562;2;16.0813140869;13.170545578;3;29.5663607121;
15;2;20.9761257172;12.3113050461;4;26.2195074558;2;17.0813140869;13.6524438858;3;30.6355655193;
16;2;21.9898986816;12.4808797836;4;26.3048160076;2;18.0813140869;14.0203924179;4;31.5587286949;
17;2;23.0040187836;12.5;4;26.3530313969;3;19.0813140869;14.2950820923;3;32.3783352375;
18;2;24.0184822083;12.5;3;26.4023760557;3;20.0813140869;14.4966192245;3;32.8459744453;
19;2;24.9207115173;12.5;4;26.4528282881;3;22.0813140869;14.5;4;33.3518748283;
20;2;24.9358482361;12.5;5;26.5043625832;3;23.3868770599;14.5;5;33.5023059845;
21;2;24.9513092041;12.5;6;26.5569496155;3;24.0506916046;14.3000001907;6;33.7353711128;
22;3;24.9670848846;12.5;5;26.6105561256;3;24.1206111908;14.1199998856;6;34.0435938835;
23;3;24.5;12.5;6;26.6651450396;3;24.2130775452;13.9580001831;6;34.4182114601;
24;3;24.9995422363;12.5;6;26.72067523;3;24.3254623413;13.8122005463;6;34.8491606712;
25;3;24.5;13.1882705688;6;26.7771017551;3;22.2467308044;14.6809806824;6;35.3252067566;
26;3;23.0331306458;13.5;6;26.8343759775;3;23.1758728027;13.5628824234;7;35.834227562;
27;3;22.0503120422;14.5;7;26.8924454451;3;24.1120986938;13.4565944672;7;36.3636360168;
28;3;21.0677337646;15.5;7;26.9512542486;3;22.0547046661;14.3609352112;7;36.9009122849;
29;3;20.0853767395;16.5;7;27.0107431412;3;21.9649047852;15.2748413086;7;37.434173584;
30;3;18.5;18.3042964935;7;27.0708494186;3;20.9649047852;14.2748413086;7;37.9527139664;
31;3;17.5;19.3283405304;7;27.1315076351;4;20.9649047852;14.1276216507;6;38.4474515915;
32;3;17.0;20.3526039124;7;27.1926498413;4;19.9649047852;14.1276216507;6;38.9112281799;
33;3;17.0;21.3770599365;8;28.2542052269;4;19.9649047852;15.1276216507;6;39.3389387131;
34;3;18.0;22.8016815186;8;28.3361010551;4;19.9649047852;16.127620697;6;39.7274866104;
35;3;20.0;20.8344421387;9;28.4184589386;4;18.9649047852;15.127620697;5;40.0756053925;
36;3;19.0;21.8673839569;9;28.5011965036;4;18.9649047852;15.127620697;6;40.3835821152;
37;3;19.0;22.900478363;9;28.5842303038;4;19.9649047852;15.8335428238;6;40.6529245377;
38;3;20.0;20.9336929321;10;28.6674759388;4;18.9649047852;14.8335428238;6;40.8860282898;
39;3;19.0;21.9669895172;10;28.7508481741;4;18.9649047852;14.7701692581;6;41.0858602524;
40;4;19.0;23.0003395081;8;43.8342614174;4;17.9649047852;13.7701692581;6;41.2556934357;
41;4;21.0;21.0337047577;8;44.6676309109;4;17.9649047852;14.7701692581;6;42.393907547;
42;5;24.1752891541;23.0337047577;8;45.4202463627;4;18.9649047852;16.2701683044;6;42.3945169449;
43;6;24.3559494019;25.0337047577;7;46.0911906958;4;18.9649047852;14.7701692581;6;42.4002490044;
44;6;26.0;28.0337047577;7;46.6829050779;4;18.9649047852;17.7701683044;5;42.4107124805;
45;6;28.0;31.0337047577;8;47.2003214359;4;21.3019714355;20.7701683044;6;42.4255512953;
46;6;31.2746982574;32.5;8;47.6499913931;4;22.9649047852;23.7701683044;6;42.4444407225;
47;6;33.2992706299;32.5;8;48.039296627;4;22.3284568787;26.6162986755;6;42.4670870304;
48;6;32.691078186;34.018119812;11;48.3758159876;4;24.3422298431;27.6046695709;6;42.4932219982;
49;6;33.1438369751;33.7702674866;10;48.5731543303;4;25.5565223694;28.2466125488;7;42.5225965977;
50;6;33.176864624;33.7934417725;10;48.6525150537;4;26.95677948;27.5847816467;7;42.5549849272;
51;6;32.7750015259;34.3610038757;10;48.7310714722;4;27.5457820892;28.2774925232;7;42.5901764631;
52;6;32.7750015259;34.3924293518;10;49.8087636232;4;28.3412055969;28.2950878143;8;42.6279759407;
53;6;34.196937561;34.8609199524;11;49.925534606;4;26.788394928;28.5618057251;8;42.6682014465;
54;6;36.2036628723;34.5;12;50.0425159931;4;27.8004589081;27.5556259155;10;42.7106823921;
55;6;36.2633972168;35.5;13;50.1596609354;4;28.8132038116;27.5500640869;10;42.7552596331;
56;6;32.7750015259;39.0895233154;13;50.2769231796;4;26.3270339966;29.3776302338;9;42.8017776012;
57;6;31.7749996185;41.543926239;14;50.3942579031;4;27.3243293762;28.400888443;10;42.85009408;
